from_stop_I,to_stop_I,label,d,n_vehicles
1,2,"[0, 0, 0, 1, 0]",626.0,5.0
2,1475,"[0, 0, 0, 1, 0]",4372.0,5.0
4,237,"[0, 0, 0, 1, 0]",181.0,27.0
5,1408,"[0, 0, 0, 1, 0]",290.0,33.0
6,8,"[0, 0, 0, 1, 0]",392.0,56.0
7,9,"[0, 0, 0, 1, 0]",368.0,56.0
8,11,"[0, 0, 0, 1, 0]",387.0,56.0
9,1833,"[0, 0, 0, 1, 0]",577.0,29.0
9,1834,"[0, 0, 0, 1, 0]",504.0,27.0
10,7,"[0, 0, 0, 1, 0]",398.0,56.0
11,10,"[0, 0, 0, 1, 0]",22.0,56.0
12,2137,"[0, 0, 0, 1, 0]",302.0,61.0
13,2225,"[0, 0, 0, 1, 0]",1984.0,67.0
15,62,"[0, 0, 0, 1, 0]",1739.0,63.0
15,567,"[0, 0, 0, 1, 0]",595.0,32.0
16,19,"[0, 0, 0, 1, 0]",169.0,59.0
16,20,"[0, 0, 0, 1, 0]",345.0,29.0
17,533,"[0, 0, 0, 1, 0]",316.0,32.0
18,15,"[0, 0, 0, 1, 0]",201.0,63.0
19,67,"[0, 0, 0, 1, 0]",410.0,59.0
20,22,"[0, 0, 0, 1, 0]",241.0,29.0
21,15,"[0, 0, 0, 1, 0]",350.0,32.0
22,24,"[0, 0, 0, 1, 0]",333.0,29.0
23,21,"[0, 0, 0, 1, 0]",258.0,32.0
24,26,"[0, 0, 0, 1, 0]",209.0,29.0
25,23,"[0, 0, 0, 1, 0]",284.0,32.0
26,448,"[0, 0, 0, 1, 0]",462.0,29.0
27,25,"[0, 0, 0, 1, 0]",233.0,32.0
28,29,"[0, 0, 0, 1, 0]",283.0,35.0
28,81,"[0, 0, 0, 1, 0]",392.0,28.0
28,88,"[0, 0, 0, 1, 0]",284.0,32.0
28,90,"[0, 0, 0, 1, 0]",233.0,27.0
29,83,"[0, 0, 0, 1, 0]",227.0,35.0
30,28,"[0, 0, 0, 1, 0]",328.0,32.0
31,34,"[0, 0, 0, 1, 0]",298.0,32.0
32,564,"[0, 0, 0, 1, 0]",88.0,35.0
33,32,"[0, 0, 0, 1, 0]",295.0,35.0
34,35,"[0, 0, 0, 1, 0]",549.0,32.0
35,97,"[0, 0, 0, 1, 0]",1007.0,32.0
36,33,"[0, 0, 0, 1, 0]",423.0,35.0
37,40,"[0, 0, 0, 1, 0]",359.0,35.0
38,93,"[0, 0, 0, 1, 0]",832.0,32.0
39,38,"[0, 0, 0, 1, 0]",330.0,32.0
40,42,"[0, 0, 0, 1, 0]",214.0,35.0
41,39,"[0, 0, 0, 1, 0]",246.0,32.0
42,610,"[0, 0, 0, 1, 0]",304.0,35.0
43,54,"[0, 0, 0, 1, 0]",311.0,33.0
44,1171,"[0, 0, 0, 1, 0]",1364.0,37.0
