from_stop_I,to_stop_I,label,d,n_vehicles
1,2,"[0, 0, 0, 1, 0]",145.0,27.0
2,11,"[0, 0, 0, 1, 0]",155.0,27.0
3,5,"[0, 0, 0, 1, 0]",212.0,50.0
3,9,"[0, 0, 0, 1, 0]",238.0,27.0
4,8,"[0, 0, 0, 1, 0]",246.0,51.0
5,258,"[0, 0, 0, 1, 0]",869.0,50.0
6,4,"[0, 0, 0, 1, 0]",205.0,51.0
7,3,"[0, 0, 0, 1, 0]",250.0,77.0
7,15,"[1, 0, 0, 0, 0]",247.0,161.0
8,24,"[0, 0, 0, 1, 0]",175.0,78.0
8,292,"[1, 0, 0, 0, 0]",584.0,96.0
8,293,"[1, 0, 0, 0, 0]",584.0,60.0
9,10,"[0, 0, 0, 1, 0]",350.0,27.0
10,1,"[0, 0, 0, 1, 0]",134.0,27.0
11,8,"[0, 0, 0, 1, 0]",228.0,27.0
12,20,"[1, 0, 0, 0, 0]",165.0,60.0
12,68,"[1, 0, 0, 0, 0]",242.0,101.0
13,14,"[1, 0, 0, 0, 0]",200.0,156.0
14,8,"[1, 0, 0, 0, 0]",223.0,156.0
15,12,"[1, 0, 0, 0, 0]",188.0,161.0
16,68,"[1, 0, 0, 0, 0]",348.0,174.0
17,239,"[1, 0, 0, 0, 0]",447.0,177.0
20,92,"[1, 0, 0, 0, 0]",181.0,15.0
20,93,"[1, 0, 0, 0, 0]",189.0,45.0
21,280,"[0, 0, 0, 1, 0]",900.0,41.0
21,285,"[0, 0, 0, 1, 0]",855.0,32.0
22,23,"[0, 0, 0, 1, 0]",638.0,165.0
22,43,"[0, 0, 0, 1, 0]",487.0,27.0
23,280,"[0, 0, 0, 1, 0]",478.0,379.0
23,285,"[0, 0, 0, 1, 0]",427.0,414.0
23,286,"[0, 0, 0, 1, 0]",389.0,39.0
24,25,"[0, 0, 0, 1, 0]",234.0,14.0
24,46,"[0, 0, 0, 1, 0]",355.0,27.0
24,50,"[0, 0, 0, 1, 0]",344.0,1015.0
26,23,"[0, 0, 0, 1, 0]",641.0,11.0
26,43,"[0, 0, 0, 1, 0]",501.0,50.0
27,23,"[0, 0, 0, 1, 0]",624.0,214.0
28,280,"[0, 0, 0, 1, 0]",987.0,82.0
29,43,"[0, 0, 0, 1, 0]",473.0,74.0
30,280,"[0, 0, 0, 1, 0]",992.0,84.0
31,285,"[0, 0, 0, 1, 0]",977.0,106.0
32,23,"[0, 0, 0, 1, 0]",583.0,17.0
32,285,"[0, 0, 0, 1, 0]",942.0,74.0
33,23,"[0, 0, 0, 1, 0]",610.0,265.0
34,23,"[0, 0, 0, 1, 0]",571.0,160.0
36,398,"[0, 0, 0, 1, 0]",946.0,21.0
37,398,"[0, 0, 0, 1, 0]",935.0,108.0
38,380,"[0, 0, 0, 1, 0]",965.0,83.0
39,398,"[0, 0, 0, 1, 0]",934.0,62.0
41,398,"[0, 0, 0, 1, 0]",927.0,89.0
