from_stop_I,to_stop_I,label,d,n_vehicles
1,27,"[0, 0, 0, 1, 0]",388.0,17.0
2,23,"[0, 0, 0, 1, 0]",486.0,1.0
2,50,"[0, 0, 0, 1, 0]",470.0,18.0
2,191,"[0, 0, 0, 1, 0]",453.0,9.0
3,191,"[0, 0, 0, 1, 0]",369.0,135.0
4,50,"[0, 0, 0, 1, 0]",505.0,32.0
4,66,"[0, 0, 0, 1, 0]",379.0,34.0
4,189,"[0, 0, 0, 1, 0]",465.0,2.0
5,23,"[0, 0, 0, 1, 0]",442.0,9.0
5,50,"[0, 0, 0, 1, 0]",428.0,155.0
6,23,"[0, 0, 0, 1, 0]",405.0,4.0
6,50,"[0, 0, 0, 1, 0]",354.0,141.0
6,189,"[0, 0, 0, 1, 0]",279.0,4.0
7,8,"[0, 0, 0, 1, 0]",193.0,9.0
7,74,"[0, 0, 0, 1, 0]",232.0,337.0
8,9,"[0, 0, 0, 1, 0]",367.0,9.0
9,10,"[0, 0, 0, 1, 0]",246.0,18.0
10,11,"[0, 0, 0, 1, 0]",268.0,18.0
11,12,"[0, 0, 0, 1, 0]",226.0,18.0
12,13,"[0, 0, 0, 1, 0]",170.0,18.0
13,14,"[0, 0, 0, 1, 0]",261.0,18.0
14,17,"[0, 0, 0, 1, 0]",275.0,18.0
15,195,"[0, 0, 0, 1, 0]",437.0,78.0
15,197,"[0, 0, 0, 1, 0]",412.0,67.0
16,194,"[0, 0, 0, 1, 0]",662.0,138.0
17,20,"[0, 0, 0, 1, 0]",187.0,27.0
18,17,"[0, 0, 0, 1, 0]",73.0,9.0
19,15,"[0, 0, 0, 1, 0]",348.0,10.0
19,16,"[0, 0, 0, 1, 0]",291.0,2.0
19,449,"[0, 0, 0, 1, 0]",379.0,1.0
20,22,"[0, 0, 0, 1, 0]",304.0,18.0
21,19,"[0, 0, 0, 1, 0]",335.0,13.0
21,76,"[0, 0, 0, 1, 0]",1482.0,1.0
22,24,"[0, 0, 0, 1, 0]",359.0,22.0
22,409,"[0, 0, 0, 1, 0]",1285.0,1.0
23,21,"[0, 0, 0, 1, 0]",218.0,14.0
23,22,"[0, 0, 0, 1, 0]",266.0,4.0
24,1,"[0, 0, 0, 1, 0]",345.0,9.0
24,25,"[0, 0, 0, 1, 0]",397.0,9.0
24,189,"[0, 0, 0, 1, 0]",504.0,4.0
25,27,"[0, 0, 0, 1, 0]",318.0,83.0
25,66,"[0, 0, 0, 1, 0]",257.0,49.0
26,66,"[0, 0, 0, 1, 0]",239.0,96.0
27,29,"[0, 0, 0, 1, 0]",200.0,56.0
27,161,"[0, 0, 0, 1, 0]",405.0,44.0
28,2,"[0, 0, 0, 1, 0]",379.0,9.0
28,3,"[0, 0, 0, 1, 0]",385.0,31.0
28,5,"[0, 0, 0, 1, 0]",420.0,9.0
28,6,"[0, 0, 0, 1, 0]",493.0,35.0
28,25,"[0, 0, 0, 1, 0]",342.0,9.0
29,31,"[0, 0, 0, 1, 0]",194.0,56.0
30,28,"[0, 0, 0, 1, 0]",163.0,50.0
31,34,"[0, 0, 0, 1, 0]",354.0,48.0
31,416,"[0, 0, 0, 1, 0]",493.0,8.0
32,147,"[0, 0, 0, 1, 0]",266.0,88.0
33,48,"[0, 0, 0, 1, 0]",339.0,50.0
33,416,"[0, 0, 0, 1, 0]",646.0,49.0
34,32,"[0, 0, 0, 1, 0]",84.0,88.0
34,46,"[0, 0, 0, 1, 0]",310.0,9.0
35,149,"[0, 0, 0, 1, 0]",271.0,88.0
36,148,"[0, 0, 0, 1, 0]",405.0,90.0
37,39,"[0, 0, 0, 1, 0]",225.0,35.0
38,144,"[0, 0, 0, 1, 0]",242.0,34.0
39,41,"[0, 0, 0, 1, 0]",206.0,35.0
40,38,"[0, 0, 0, 1, 0]",259.0,34.0
41,43,"[0, 0, 0, 1, 0]",285.0,35.0
42,40,"[0, 0, 0, 1, 0]",206.0,34.0
43,45,"[0, 0, 0, 1, 0]",307.0,35.0
44,42,"[0, 0, 0, 1, 0]",256.0,34.0
45,44,"[0, 0, 0, 1, 0]",330.0,34.0
46,454,"[0, 0, 0, 1, 0]",250.0,9.0
47,33,"[0, 0, 0, 1, 0]",303.0,9.0
48,30,"[0, 0, 0, 1, 0]",248.0,50.0
49,51,"[0, 0, 0, 1, 0]",190.0,347.0
50,7,"[0, 0, 0, 1, 0]",287.0,346.0
51,1,"[0, 0, 0, 1, 0]",434.0,97.0
51,3,"[0, 0, 0, 1, 0]",467.0,32.0
51,25,"[0, 0, 0, 1, 0]",503.0,84.0
51,26,"[0, 0, 0, 1, 0]",567.0,80.0
51,399,"[0, 0, 0, 1, 0]",584.0,54.0
52,98,"[0, 0, 0, 1, 0]",801.0,62.0
53,73,"[0, 0, 0, 1, 0]",215.0,160.0
53,452,"[0, 0, 0, 1, 0]",372.0,4.0
54,71,"[0, 0, 0, 1, 0]",783.0,46.0
54,415,"[0, 0, 0, 1, 0]",103.0,49.0
55,57,"[0, 0, 0, 1, 0]",276.0,11.0
56,53,"[0, 0, 0, 1, 0]",878.0,8.0
56,54,"[0, 0, 0, 1, 0]",816.0,3.0
57,59,"[0, 0, 0, 1, 0]",959.0,11.0
58,56,"[0, 0, 0, 1, 0]",225.0,11.0
59,244,"[0, 0, 0, 1, 0]",444.0,3.0
59,1334,"[0, 0, 0, 1, 0]",262.0,8.0
60,58,"[0, 0, 0, 1, 0]",1049.0,11.0
61,244,"[0, 0, 0, 1, 0]",423.0,46.0
62,64,"[0, 0, 0, 1, 0]",219.0,46.0
63,61,"[0, 0, 0, 1, 0]",238.0,46.0
64,68,"[0, 0, 0, 1, 0]",683.0,46.0
65,52,"[0, 0, 0, 1, 0]",338.0,62.0
66,54,"[0, 0, 0, 1, 0]",336.0,95.0
66,452,"[0, 0, 0, 1, 0]",414.0,83.0
66,453,"[0, 0, 0, 1, 0]",395.0,1.0
67,63,"[0, 0, 0, 1, 0]",657.0,46.0
68,70,"[0, 0, 0, 1, 0]",2.0,46.0
69,67,"[0, 0, 0, 1, 0]",0.0,46.0
70,72,"[0, 0, 0, 1, 0]",403.0,46.0
71,69,"[0, 0, 0, 1, 0]",476.0,46.0
72,53,"[0, 0, 0, 1, 0]",890.0,46.0
73,2,"[0, 0, 0, 1, 0]",299.0,18.0
73,3,"[0, 0, 0, 1, 0]",382.0,49.0
73,5,"[0, 0, 0, 1, 0]",325.0,113.0
73,6,"[0, 0, 0, 1, 0]",343.0,68.0
74,76,"[0, 0, 0, 1, 0]",486.0,88.0
74,79,"[0, 0, 0, 1, 0]",607.0,9.0
74,345,"[0, 0, 0, 1, 0]",666.0,240.0
75,49,"[0, 0, 0, 1, 0]",411.0,347.0
75,1354,"[0, 0, 0, 1, 0]",682.0,1.0
76,78,"[0, 0, 0, 1, 0]",200.0,63.0
76,96,"[0, 0, 0, 1, 0]",412.0,39.0
77,79,"[0, 0, 0, 1, 0]",135.0,2.0
77,344,"[0, 0, 0, 1, 0]",132.0,92.0
77,345,"[0, 0, 0, 1, 0]",265.0,9.0
78,82,"[0, 0, 0, 1, 0]",352.0,46.0
78,344,"[0, 0, 0, 1, 0]",237.0,9.0
78,345,"[0, 0, 0, 1, 0]",251.0,17.0
79,77,"[0, 0, 0, 1, 0]",135.0,60.0
79,96,"[0, 0, 0, 1, 0]",397.0,9.0
79,344,"[0, 0, 0, 1, 0]",205.0,2.0
79,409,"[0, 0, 0, 1, 0]",1656.0,1.0
80,237,"[0, 0, 0, 1, 0]",481.0,2.0
80,238,"[0, 0, 0, 1, 0]",438.0,68.0
81,381,"[0, 0, 0, 1, 0]",503.0,69.0
82,84,"[0, 0, 0, 1, 0]",390.0,46.0
83,79,"[0, 0, 0, 1, 0]",387.0,44.0
84,86,"[0, 0, 0, 1, 0]",400.0,46.0
85,83,"[0, 0, 0, 1, 0]",346.0,44.0
