from_stop_I,to_stop_I,label,d,n_vehicles
3,36,"[0, 0, 0, 1, 0]",453.0,18.0
3,709,"[0, 0, 0, 1, 0]",1090.0,19.0
4,522,"[0, 0, 0, 1, 0]",1410.0,45.0
4,853,"[0, 0, 0, 1, 0]",1442.0,13.0
4,2186,"[0, 0, 0, 1, 0]",1638.0,10.0
4,2439,"[0, 0, 0, 1, 0]",792.0,38.0
11,444,"[0, 0, 0, 1, 0]",226.0,41.0
11,1160,"[0, 0, 0, 1, 0]",433.0,41.0
19,21,"[0, 0, 0, 1, 0]",603.0,38.0
19,23,"[0, 0, 0, 1, 0]",228.0,37.0
21,19,"[0, 0, 0, 1, 0]",603.0,37.0
23,19,"[0, 0, 0, 1, 0]",228.0,38.0
23,2415,"[0, 0, 0, 1, 0]",1961.0,37.0
25,685,"[0, 0, 0, 1, 0]",1131.0,25.0
25,2145,"[0, 0, 0, 1, 0]",1432.0,25.0
29,32,"[0, 0, 0, 1, 0]",429.0,14.0
29,1516,"[0, 0, 0, 1, 0]",344.0,12.0
30,588,"[0, 0, 0, 1, 0]",257.0,67.0
30,594,"[0, 0, 0, 1, 0]",295.0,94.0
30,596,"[0, 0, 0, 1, 0]",532.0,64.0
30,1438,"[0, 0, 0, 1, 0]",332.0,369.0
31,601,"[0, 0, 0, 1, 0]",275.0,94.0
31,1350,"[0, 0, 0, 1, 0]",493.0,94.0
32,29,"[0, 0, 0, 1, 0]",429.0,12.0
32,34,"[0, 0, 0, 1, 0]",181.0,25.0
32,131,"[0, 0, 0, 1, 0]",2168.0,25.0
32,134,"[0, 0, 0, 1, 0]",2032.0,14.0
33,581,"[0, 0, 0, 1, 0]",442.0,248.0
33,599,"[0, 0, 0, 1, 0]",432.0,113.0
33,1033,"[0, 0, 0, 1, 0]",767.0,145.0
33,1055,"[0, 0, 0, 1, 0]",1953.0,102.0
33,1350,"[0, 0, 0, 1, 0]",1497.0,112.0
34,32,"[0, 0, 0, 1, 0]",181.0,25.0
34,891,"[0, 0, 0, 1, 0]",723.0,25.0
35,580,"[0, 0, 0, 1, 0]",283.0,49.0
35,585,"[0, 0, 0, 1, 0]",477.0,47.0
36,3,"[0, 0, 0, 1, 0]",453.0,19.0
36,37,"[0, 0, 0, 1, 0]",294.0,18.0
37,36,"[0, 0, 0, 1, 0]",294.0,19.0
37,2298,"[0, 0, 0, 1, 0]",2364.0,18.0
43,84,"[0, 0, 0, 1, 0]",1350.0,96.0
45,67,"[0, 0, 1, 0, 0]",1257.0,39.0
45,113,"[0, 0, 1, 0, 0]",788.0,38.0
46,61,"[0, 0, 0, 1, 0]",275.0,67.0
46,603,"[0, 0, 0, 1, 0]",318.0,64.0
47,50,"[0, 0, 0, 1, 0]",490.0,189.0
47,68,"[0, 0, 0, 1, 0]",215.0,135.0
47,83,"[0, 0, 0, 1, 0]",487.0,54.0
47,233,"[0, 0, 0, 1, 0]",213.0,81.0
47,2313,"[0, 0, 0, 1, 0]",473.0,308.0
48,47,"[0, 0, 0, 1, 0]",631.0,133.0
48,58,"[0, 0, 0, 1, 0]",286.0,153.0
48,1393,"[0, 0, 0, 1, 0]",579.0,206.0
48,1402,"[0, 0, 0, 1, 0]",514.0,23.0
49,1393,"[0, 0, 1, 0, 0]",1101.0,46.0
49,1888,"[0, 0, 1, 0, 0]",4517.0,38.0
49,2262,"[0, 0, 1, 0, 0]",9342.0,12.0
49,2313,"[0, 0, 0, 1, 0]",371.0,123.0
49,2406,"[0, 0, 0, 1, 0]",341.0,119.0
50,47,"[0, 0, 0, 1, 0]",490.0,187.0
50,83,"[0, 0, 0, 1, 0]",604.0,91.0
50,588,"[0, 0, 0, 1, 0]",677.0,189.0
50,1350,"[0, 0, 0, 1, 0]",1250.0,4.0
50,1438,"[0, 0, 0, 1, 0]",1073.0,91.0
53,2234,"[0, 0, 0, 1, 0]",1057.0,8.0
54,1242,"[0, 0, 0, 1, 0]",2569.0,20.0
54,1613,"[0, 0, 0, 1, 0]",948.0,21.0
55,434,"[0, 0, 0, 1, 0]",1958.0,35.0
55,1682,"[0, 0, 0, 1, 0]",1810.0,35.0
56,1216,"[0, 0, 0, 1, 0]",3212.0,21.0
56,1332,"[0, 0, 0, 1, 0]",1537.0,20.0
57,60,"[0, 0, 0, 1, 0]",321.0,96.0
57,67,"[0, 0, 0, 1, 0]",519.0,98.0
57,101,"[0, 0, 0, 1, 0]",228.0,2.0
57,119,"[0, 0, 0, 1, 0]",652.0,3.0
58,48,"[0, 0, 0, 1, 0]",286.0,154.0
58,71,"[0, 0, 0, 1, 0]",335.0,153.0
59,86,"[0, 0, 0, 1, 0]",411.0,14.0
59,429,"[0, 0, 0, 1, 0]",220.0,13.0
60,57,"[0, 0, 0, 1, 0]",321.0,98.0
60,119,"[0, 0, 0, 1, 0]",331.0,96.0
61,46,"[0, 0, 0, 1, 0]",275.0,64.0
61,69,"[0, 0, 0, 1, 0]",183.0,67.0
62,76,"[0, 0, 0, 1, 0]",208.0,89.0
62,83,"[0, 0, 0, 1, 0]",353.0,306.0
62,325,"[0, 0, 0, 1, 0]",275.0,47.0
62,341,"[0, 0, 0, 1, 0]",475.0,67.0
63,86,"[0, 0, 0, 1, 0]",345.0,13.0
63,118,"[0, 0, 0, 1, 0]",158.0,14.0
64,113,"[0, 0, 0, 1, 0]",244.0,48.0
64,463,"[0, 0, 0, 1, 0]",671.0,48.0
66,119,"[0, 0, 0, 1, 0]",361.0,161.0
66,1572,"[0, 0, 0, 1, 0]",865.0,159.0
67,45,"[0, 0, 1, 0, 0]",1257.0,38.0
67,57,"[0, 0, 0, 1, 0]",519.0,96.0
67,84,"[0, 0, 0, 1, 0]",251.0,98.0
68,48,"[0, 0, 0, 1, 0]",499.0,75.0
68,58,"[0, 0, 0, 1, 0]",222.0,154.0
68,1402,"[0, 0, 0, 1, 0]",1009.0,63.0
69,73,"[0, 0, 0, 1, 0]",223.0,67.0
71,83,"[0, 0, 0, 1, 0]",423.0,97.0
71,341,"[0, 0, 0, 1, 0]",1219.0,56.0
73,61,"[0, 0, 0, 1, 0]",353.0,64.0
73,83,"[0, 0, 0, 1, 0]",386.0,67.0
76,78,"[0, 0, 0, 1, 0]",50.0,83.0
78,62,"[0, 0, 0, 1, 0]",158.0,86.0
81,82,"[0, 0, 0, 1, 0]",675.0,68.0
81,383,"[0, 0, 0, 1, 0]",1086.0,33.0
81,2495,"[0, 0, 0, 1, 0]",2505.0,35.0
82,81,"[0, 0, 0, 1, 0]",675.0,68.0
