from_stop_I,to_stop_I,label,d,n_vehicles
1,3,"[0, 0, 0, 1, 0]",18577.0,124.0
2,1,"[0, 0, 0, 1, 0]",18663.0,127.0
3,2,"[0, 0, 0, 1, 0]",290.0,251.0
4,567,"[0, 0, 0, 1, 0]",625.0,29.0
5,564,"[0, 0, 0, 1, 0]",300.0,24.0
6,573,"[0, 0, 0, 1, 0]",328.0,59.0
7,664,"[0, 0, 0, 1, 0]",435.0,56.0
8,669,"[0, 0, 0, 1, 0]",295.0,56.0
9,674,"[0, 0, 0, 1, 0]",401.0,56.0
10,716,"[0, 0, 0, 1, 0]",137.0,58.0
11,17152,"[0, 0, 0, 1, 0]",272.0,58.0
12,4264,"[0, 0, 0, 1, 0]",459.0,58.0
13,845,"[0, 0, 0, 1, 0]",369.0,23.0
14,996,"[0, 0, 0, 1, 0]",326.0,42.0
15,1231,"[0, 0, 0, 1, 0]",247.0,32.0
16,1251,"[0, 0, 0, 1, 0]",335.0,50.0
17,1256,"[0, 0, 0, 1, 0]",500.0,50.0
17,14990,"[0, 0, 0, 1, 0]",402.0,24.0
18,1269,"[0, 0, 0, 1, 0]",439.0,23.0
19,1279,"[0, 0, 0, 1, 0]",541.0,33.0
20,1283,"[0, 0, 0, 1, 0]",322.0,33.0
21,1582,"[0, 0, 0, 1, 0]",496.0,88.0
22,1605,"[0, 0, 0, 1, 0]",314.0,88.0
23,1634,"[0, 0, 0, 1, 0]",302.0,88.0
24,1655,"[0, 0, 0, 1, 0]",738.0,88.0
25,1666,"[0, 0, 0, 1, 0]",818.0,78.0
25,3493,"[0, 0, 0, 1, 0]",392.0,8.0
26,2812,"[0, 0, 0, 1, 0]",519.0,78.0
27,1684,"[0, 0, 0, 1, 0]",557.0,78.0
28,150,"[0, 0, 0, 1, 0]",347.0,54.0
28,3415,"[0, 0, 0, 1, 0]",355.0,23.0
28,7602,"[0, 0, 0, 1, 0]",332.0,37.0
29,1746,"[0, 0, 0, 1, 0]",463.0,54.0
30,1750,"[0, 0, 0, 1, 0]",531.0,77.0
31,8654,"[0, 0, 0, 1, 0]",1239.0,19.0
32,9367,"[0, 0, 0, 1, 0]",357.0,20.0
33,15695,"[0, 0, 0, 1, 0]",368.0,96.0
34,1927,"[0, 0, 0, 1, 0]",439.0,57.0
35,1964,"[0, 0, 0, 1, 0]",141.0,68.0
36,1966,"[0, 0, 0, 1, 0]",209.0,20.0
37,12816,"[0, 0, 0, 1, 0]",523.0,32.0
37,13670,"[0, 0, 0, 1, 0]",237.0,20.0
38,1863,"[0, 0, 0, 1, 0]",256.0,138.0
39,2098,"[0, 0, 0, 1, 0]",278.0,104.0
40,7590,"[0, 0, 0, 1, 0]",464.0,32.0
41,2561,"[0, 0, 0, 1, 0]",817.0,77.0
42,2767,"[0, 0, 0, 1, 0]",362.0,74.0
42,16608,"[0, 0, 0, 1, 0]",277.0,65.0
43,2770,"[0, 0, 0, 1, 0]",633.0,107.0
44,2814,"[0, 0, 0, 1, 0]",438.0,24.0
45,12769,"[0, 0, 0, 1, 0]",1081.0,24.0
47,5808,"[0, 0, 0, 1, 0]",383.0,104.0
48,1715,"[0, 0, 0, 1, 0]",270.0,466.0
49,3235,"[0, 0, 0, 1, 0]",341.0,72.0
50,3240,"[0, 0, 0, 1, 0]",268.0,36.0
51,3245,"[0, 0, 0, 1, 0]",211.0,72.0
53,3382,"[0, 0, 0, 1, 0]",338.0,87.0
56,3397,"[0, 0, 0, 1, 0]",1380.0,23.0
57,3409,"[0, 0, 0, 1, 0]",284.0,59.0
58,3563,"[0, 0, 0, 1, 0]",389.0,37.0
59,3611,"[0, 0, 0, 1, 0]",326.0,37.0
60,3717,"[0, 0, 0, 1, 0]",278.0,30.0
61,4028,"[0, 0, 0, 1, 0]",263.0,71.0
62,9022,"[0, 0, 0, 1, 0]",659.0,30.0
63,4174,"[0, 0, 0, 1, 0]",610.0,134.0
64,4181,"[0, 0, 0, 1, 0]",203.0,88.0
65,11338,"[0, 0, 0, 1, 0]",494.0,71.0
66,4306,"[0, 0, 0, 1, 0]",298.0,45.0
67,4360,"[0, 0, 0, 1, 0]",228.0,49.0
68,4534,"[0, 0, 0, 1, 0]",354.0,39.0
70,4650,"[0, 0, 0, 1, 0]",621.0,39.0
70,12501,"[0, 0, 0, 1, 0]",402.0,15.0
71,4688,"[0, 0, 0, 1, 0]",712.0,20.0
71,8351,"[0, 0, 0, 1, 0]",766.0,39.0
72,4702,"[0, 0, 0, 1, 0]",1174.0,20.0
73,4083,"[0, 0, 0, 1, 0]",467.0,48.0
73,11281,"[0, 0, 0, 1, 0]",611.0,20.0
74,4822,"[0, 0, 0, 1, 0]",499.0,73.0
75,4826,"[0, 0, 0, 1, 0]",470.0,41.0
76,4898,"[0, 0, 0, 1, 0]",479.0,84.0
77,4903,"[0, 0, 0, 1, 0]",283.0,84.0
78,4912,"[0, 0, 0, 1, 0]",263.0,146.0
79,4221,"[0, 0, 0, 1, 0]",747.0,37.0
79,4916,"[0, 0, 0, 1, 0]",456.0,71.0
79,6289,"[0, 0, 0, 1, 0]",508.0,1.0
80,4921,"[0, 0, 0, 1, 0]",560.0,71.0
81,4925,"[0, 0, 0, 1, 0]",188.0,71.0
82,4979,"[0, 0, 0, 1, 0]",274.0,39.0
83,130,"[0, 0, 0, 1, 0]",304.0,38.0
83,6981,"[0, 0, 0, 1, 0]",274.0,72.0
83,6984,"[0, 0, 0, 1, 0]",232.0,38.0
84,4972,"[0, 0, 0, 1, 0]",408.0,110.0
85,4977,"[0, 0, 0, 1, 0]",342.0,72.0
86,4982,"[0, 0, 0, 1, 0]",294.0,72.0
87,5015,"[0, 0, 0, 1, 0]",356.0,39.0
88,5104,"[0, 0, 0, 1, 0]",406.0,69.0
89,5133,"[0, 0, 0, 1, 0]",302.0,39.0
90,5435,"[0, 0, 0, 1, 0]",312.0,29.0
91,5744,"[0, 0, 0, 1, 0]",301.0,54.0
92,7619,"[0, 0, 0, 1, 0]",296.0,49.0
93,5733,"[0, 0, 0, 1, 0]",290.0,81.0
94,5781,"[0, 0, 0, 1, 0]",439.0,48.0
95,7787,"[0, 0, 0, 1, 0]",543.0,48.0
96,975,"[0, 0, 0, 1, 0]",430.0,23.0
96,5969,"[0, 0, 0, 1, 0]",217.0,7.0
97,6217,"[0, 0, 0, 1, 0]",413.0,54.0
98,6132,"[0, 0, 0, 1, 0]",300.0,142.0
98,8970,"[0, 0, 0, 1, 0]",206.0,71.0
98,9484,"[0, 0, 0, 1, 0]",1527.0,1.0
99,6549,"[0, 0, 0, 1, 0]",407.0,104.0
100,5821,"[0, 0, 0, 1, 0]",818.0,31.0
102,6516,"[0, 0, 0, 1, 0]",436.0,52.0
103,6521,"[0, 0, 0, 1, 0]",357.0,52.0
104,9540,"[0, 0, 0, 1, 0]",937.0,25.0
105,19901,"[1, 0, 0, 0, 0]",300.0,108.0
106,19905,"[1, 0, 0, 0, 0]",182.0,108.0
107,6573,"[0, 0, 0, 1, 0]",592.0,42.0
107,10505,"[0, 0, 0, 1, 0]",267.0,14.0
108,3723,"[0, 0, 0, 1, 0]",620.0,76.0
109,6579,"[0, 0, 0, 1, 0]",535.0,46.0
110,6582,"[0, 0, 0, 1, 0]",996.0,46.0
111,6569,"[0, 0, 0, 1, 0]",357.0,20.0
111,9146,"[0, 0, 0, 1, 0]",483.0,24.0
111,9147,"[0, 0, 0, 1, 0]",653.0,102.0
111,9849,"[0, 0, 0, 1, 0]",443.0,22.0
112,20090,"[1, 0, 0, 0, 0]",340.0,80.0
113,20163,"[1, 0, 0, 0, 0]",384.0,109.0
114,20167,"[1, 0, 0, 0, 0]",440.0,109.0
115,20176,"[1, 0, 0, 0, 0]",306.0,103.0
116,20277,"[1, 0, 0, 0, 0]",251.0,209.0
117,17092,"[0, 0, 0, 1, 0]",298.0,31.0
118,20502,"[1, 0, 0, 0, 0]",279.0,122.0
119,20581,"[1, 0, 0, 0, 0]",180.0,209.0
120,20686,"[1, 0, 0, 0, 0]",368.0,126.0
123,291,"[0, 0, 0, 1, 0]",308.0,577.0
124,6936,"[0, 0, 0, 1, 0]",153.0,76.0
125,6957,"[0, 0, 0, 1, 0]",482.0,78.0
126,6969,"[0, 0, 0, 1, 0]",215.0,78.0
127,15462,"[0, 0, 0, 1, 0]",991.0,76.0
128,20736,"[1, 0, 0, 0, 0]",340.0,124.0
129,5756,"[0, 0, 0, 1, 0]",568.0,29.0
129,6956,"[0, 0, 0, 1, 0]",409.0,39.0
130,16924,"[0, 0, 0, 1, 0]",425.0,39.0
131,6991,"[0, 0, 0, 1, 0]",358.0,68.0
132,15881,"[0, 0, 0, 1, 0]",554.0,34.0
133,1056,"[0, 0, 0, 1, 0]",526.0,87.0
134,10356,"[0, 0, 0, 1, 0]",693.0,69.0
135,1056,"[0, 0, 0, 1, 0]",502.0,30.0
135,12553,"[0, 0, 0, 1, 0]",318.0,29.0
136,12553,"[0, 0, 0, 1, 0]",326.0,28.0
137,8608,"[0, 0, 0, 1, 0]",389.0,76.0
137,13268,"[0, 0, 0, 1, 0]",349.0,86.0
138,12293,"[0, 0, 0, 1, 0]",760.0,131.0
139,6369,"[0, 0, 0, 1, 0]",567.0,24.0
140,6528,"[0, 0, 0, 1, 0]",205.0,30.0
141,8363,"[0, 0, 0, 1, 0]",172.0,54.0
142,4715,"[0, 0, 0, 1, 0]",700.0,28.0
143,7350,"[0, 0, 0, 1, 0]",435.0,98.0
144,16942,"[0, 0, 0, 1, 0]",258.0,36.0
145,7679,"[0, 0, 0, 1, 0]",518.0,71.0
146,4248,"[0, 0, 0, 1, 0]",836.0,87.0
148,7557,"[0, 0, 0, 1, 0]",473.0,36.0
149,15494,"[0, 0, 0, 1, 0]",375.0,29.0
150,25,"[0, 0, 0, 1, 0]",388.0,54.0
151,18411,"[0, 0, 0, 1, 0]",158.0,26.0
152,7663,"[0, 0, 0, 1, 0]",399.0,43.0
153,8272,"[0, 0, 0, 1, 0]",553.0,19.0
153,16209,"[0, 0, 0, 1, 0]",530.0,30.0
153,16591,"[0, 0, 0, 1, 0]",556.0,65.0
154,16209,"[0, 0, 0, 1, 0]",526.0,21.0
154,16591,"[0, 0, 0, 1, 0]",561.0,21.0
155,537,"[0, 0, 0, 1, 0]",3043.0,2.0
155,16591,"[0, 0, 0, 1, 0]",564.0,22.0
156,194,"[0, 0, 0, 1, 0]",399.0,104.0
158,12478,"[0, 0, 0, 1, 0]",319.0,35.0
159,16751,"[0, 0, 0, 1, 0]",591.0,19.0
160,7999,"[0, 0, 0, 1, 0]",228.0,148.0
161,8008,"[0, 0, 0, 1, 0]",356.0,38.0
162,8005,"[0, 0, 0, 1, 0]",232.0,36.0
164,8050,"[0, 0, 0, 1, 0]",212.0,16.0
165,12602,"[0, 0, 0, 1, 0]",341.0,32.0
166,8089,"[0, 0, 0, 1, 0]",250.0,32.0
167,11850,"[0, 0, 0, 1, 0]",417.0,73.0
168,11414,"[0, 0, 0, 1, 0]",139.0,1.0
169,4147,"[0, 0, 0, 1, 0]",313.0,48.0
170,4100,"[0, 0, 0, 1, 0]",236.0,48.0
171,8202,"[0, 0, 0, 1, 0]",443.0,16.0
171,12506,"[0, 0, 0, 1, 0]",191.0,18.0
172,8247,"[0, 0, 0, 1, 0]",661.0,15.0
173,7664,"[0, 0, 0, 1, 0]",11214.0,1.0
173,17275,"[0, 0, 0, 1, 0]",7397.0,14.0
174,4121,"[0, 0, 0, 1, 0]",547.0,77.0
175,13879,"[0, 0, 0, 1, 0]",428.0,49.0
176,13000,"[0, 0, 0, 1, 0]",362.0,57.0
176,13278,"[0, 0, 0, 1, 0]",342.0,25.0
177,16328,"[0, 0, 0, 1, 0]",831.0,21.0
