from_stop_I,to_stop_I,label,d,n_vehicles
1083,1204,"[0, 0, 0, 1, 0]",259.0,74.0
1084,2001,"[0, 0, 0, 1, 0]",233.0,78.0
1085,2872,"[0, 0, 0, 1, 0]",254.0,78.0
1086,3493,"[0, 0, 0, 1, 0]",803.0,38.0
1087,3147,"[0, 0, 0, 1, 0]",566.0,39.0
1088,2535,"[0, 0, 0, 1, 0]",354.0,101.0
1089,2232,"[0, 0, 0, 1, 0]",339.0,104.0
1090,2184,"[1, 0, 0, 0, 0]",374.0,366.0
1091,3503,"[1, 0, 0, 0, 0]",318.0,364.0
1092,1648,"[0, 0, 0, 1, 0]",187.0,41.0
1093,2890,"[0, 0, 0, 1, 0]",254.0,41.0
1094,2743,"[0, 0, 0, 1, 0]",284.0,103.0
1095,2116,"[0, 0, 0, 1, 0]",7535.0,52.0
1095,2755,"[0, 0, 0, 1, 0]",2015.0,51.0
1096,2332,"[0, 0, 0, 1, 0]",352.0,26.0
1096,2742,"[0, 0, 0, 1, 0]",330.0,17.0
1097,1110,"[0, 0, 0, 1, 0]",330.0,47.0
1098,1109,"[0, 0, 0, 1, 0]",340.0,43.0
1099,1390,"[0, 0, 0, 1, 0]",311.0,47.0
1100,1914,"[0, 0, 0, 1, 0]",383.0,47.0
1101,3431,"[0, 0, 0, 1, 0]",304.0,124.0
1102,1865,"[0, 0, 0, 1, 0]",269.0,178.0
1103,3101,"[0, 0, 0, 1, 0]",250.0,3.0
1104,1422,"[0, 0, 0, 1, 0]",983.0,3.0
1105,2682,"[0, 0, 0, 1, 0]",366.0,1.0
1105,3057,"[0, 0, 0, 1, 0]",940.0,1.0
1107,2682,"[0, 0, 0, 1, 0]",262.0,129.0
1108,1105,"[0, 0, 0, 1, 0]",53.0,1.0
1108,3307,"[0, 0, 0, 1, 0]",242.0,125.0
1109,1096,"[0, 0, 0, 1, 0]",419.0,43.0
1110,1099,"[0, 0, 0, 1, 0]",531.0,47.0
1111,3199,"[0, 0, 0, 1, 0]",462.0,81.0
1112,1332,"[0, 0, 0, 1, 0]",174.0,83.0
1113,3007,"[0, 0, 0, 1, 0]",396.0,95.0
1114,2857,"[0, 0, 0, 1, 0]",345.0,50.0
1114,2946,"[0, 0, 0, 1, 0]",6521.0,15.0
1115,2406,"[0, 0, 0, 1, 0]",4136.0,15.0
1115,2933,"[0, 0, 0, 1, 0]",366.0,48.0
1116,2826,"[0, 0, 0, 1, 0]",241.0,41.0
1117,1129,"[0, 0, 0, 1, 0]",158.0,44.0
1118,3065,"[0, 0, 0, 1, 0]",133.0,1.0
1119,1194,"[0, 0, 0, 1, 0]",219.0,2.0
1120,2524,"[0, 0, 0, 1, 0]",511.0,49.0
1121,2488,"[0, 0, 0, 1, 0]",480.0,45.0
1121,3125,"[0, 0, 0, 1, 0]",419.0,1.0
1122,3219,"[0, 0, 0, 1, 0]",456.0,179.0
1123,3183,"[0, 0, 0, 1, 0]",286.0,183.0
1124,1961,"[0, 0, 0, 1, 0]",299.0,39.0
1125,3548,"[0, 0, 0, 1, 0]",473.0,39.0
1126,1163,"[0, 0, 0, 1, 0]",556.0,15.0
1126,2036,"[0, 0, 0, 1, 0]",495.0,65.0
1127,3252,"[0, 0, 0, 1, 0]",344.0,78.0
1128,1116,"[0, 0, 0, 1, 0]",300.0,41.0
1129,2493,"[0, 0, 0, 1, 0]",279.0,42.0
1130,1195,"[0, 0, 0, 1, 0]",411.0,57.0
1131,1291,"[0, 0, 0, 1, 0]",369.0,57.0
1132,3245,"[0, 0, 0, 1, 0]",284.0,46.0
1133,3333,"[0, 0, 0, 1, 0]",266.0,47.0
1134,1140,"[0, 0, 0, 1, 0]",268.0,53.0
1135,3198,"[0, 0, 0, 1, 0]",301.0,52.0
1136,3429,"[0, 0, 0, 1, 0]",160.0,140.0
1137,1397,"[0, 0, 0, 1, 0]",3345.0,1.0
1137,2959,"[0, 0, 0, 1, 0]",263.0,139.0
1138,2539,"[0, 0, 0, 1, 0]",241.0,215.0
1139,1319,"[0, 0, 0, 1, 0]",259.0,218.0
1140,1769,"[0, 0, 0, 1, 0]",323.0,53.0
1141,1135,"[0, 0, 0, 1, 0]",274.0,52.0
1142,3026,"[0, 0, 0, 1, 0]",240.0,41.0
1143,2342,"[0, 0, 0, 1, 0]",437.0,40.0
1144,2711,"[0, 0, 0, 1, 0]",319.0,75.0
1144,2714,"[0, 0, 0, 1, 0]",302.0,45.0
1145,1570,"[0, 0, 0, 1, 0]",274.0,72.0
1145,1571,"[0, 0, 0, 1, 0]",200.0,46.0
1146,1423,"[0, 0, 0, 1, 0]",231.0,63.0
1146,1475,"[0, 0, 0, 1, 0]",308.0,63.0
1148,3019,"[0, 0, 0, 1, 0]",67.0,3.0
1149,2828,"[0, 0, 0, 1, 0]",186.0,2.0
1150,1254,"[0, 0, 0, 1, 0]",588.0,10.0
1150,3490,"[0, 0, 0, 1, 0]",425.0,13.0
1153,2816,"[0, 0, 0, 1, 0]",113.0,29.0
1154,3169,"[0, 0, 0, 1, 0]",710.0,39.0
1155,3010,"[0, 0, 0, 1, 0]",480.0,6.0
1156,3161,"[0, 0, 0, 1, 0]",191.0,32.0
1157,1270,"[0, 0, 0, 1, 0]",493.0,47.0
1158,3390,"[0, 0, 0, 1, 0]",238.0,50.0
1159,1963,"[0, 0, 0, 1, 0]",950.0,2.0
1160,2616,"[0, 0, 0, 1, 0]",295.0,1.0
1161,1590,"[0, 0, 0, 1, 0]",779.0,50.0
1162,2680,"[0, 0, 0, 1, 0]",404.0,47.0
1163,1127,"[0, 0, 0, 1, 0]",575.0,12.0
1164,3364,"[0, 0, 0, 1, 0]",460.0,238.0
1165,1394,"[0, 0, 0, 1, 0]",317.0,243.0
1166,2500,"[1, 0, 0, 0, 0]",412.0,169.0
1167,1680,"[1, 0, 0, 0, 0]",439.0,170.0
1168,2564,"[0, 0, 0, 1, 0]",358.0,26.0
1169,2504,"[0, 0, 0, 1, 0]",556.0,29.0
1170,2202,"[0, 0, 0, 1, 0]",465.0,37.0
1171,1669,"[0, 0, 0, 1, 0]",522.0,40.0
1172,1735,"[0, 0, 0, 1, 0]",572.0,98.0
1173,3496,"[0, 0, 0, 1, 0]",593.0,98.0
1174,3001,"[0, 0, 0, 1, 0]",391.0,19.0
1175,3021,"[0, 0, 0, 1, 0]",821.0,18.0
1176,1990,"[0, 0, 0, 1, 0]",429.0,142.0
1176,2833,"[0, 0, 0, 1, 0]",544.0,49.0
1177,2752,"[0, 0, 0, 1, 0]",413.0,48.0
1177,2756,"[0, 0, 0, 1, 0]",393.0,96.0
1177,2758,"[0, 0, 0, 1, 0]",404.0,50.0
1180,1296,"[0, 0, 0, 1, 0]",459.0,145.0
1181,3133,"[0, 0, 0, 1, 0]",190.0,101.0
1181,3252,"[0, 0, 0, 1, 0]",2118.0,41.0
1182,2044,"[0, 0, 0, 1, 0]",319.0,1.0
1183,2085,"[0, 0, 0, 1, 0]",343.0,1.0
1184,2046,"[0, 0, 0, 1, 0]",352.0,81.0
1185,2956,"[0, 0, 0, 1, 0]",308.0,82.0
1186,1425,"[0, 0, 0, 1, 0]",546.0,41.0
1187,3105,"[0, 0, 0, 1, 0]",396.0,41.0
1188,1189,"[0, 0, 0, 1, 0]",51.0,128.0
1189,2216,"[0, 0, 0, 1, 0]",148.0,38.0
1189,2518,"[0, 0, 0, 1, 0]",202.0,128.0
1190,2925,"[0, 0, 0, 1, 0]",400.0,39.0
1191,1847,"[0, 0, 0, 1, 0]",718.0,42.0
1192,3380,"[0, 0, 0, 1, 0]",476.0,41.0
1193,1118,"[0, 0, 0, 1, 0]",456.0,1.0
1194,3372,"[0, 0, 0, 1, 0]",370.0,2.0
1195,2977,"[0, 0, 0, 1, 0]",519.0,57.0
1196,1131,"[0, 0, 0, 1, 0]",355.0,57.0
1197,3032,"[0, 0, 0, 1, 0]",481.0,95.0
1198,1655,"[0, 0, 0, 1, 0]",434.0,96.0
1198,1815,"[0, 0, 0, 1, 0]",321.0,2.0
1199,3032,"[0, 0, 0, 1, 0]",487.0,3.0
1199,3513,"[0, 0, 0, 1, 0]",365.0,53.0
1200,1815,"[0, 0, 0, 1, 0]",371.0,54.0
1201,3213,"[0, 0, 0, 1, 0]",411.0,60.0
1202,1682,"[0, 0, 0, 1, 0]",371.0,59.0
1203,1545,"[0, 0, 0, 1, 0]",388.0,75.0
1204,3418,"[0, 0, 0, 1, 0]",417.0,74.0
1205,2349,"[0, 0, 0, 1, 0]",330.0,105.0
1206,2351,"[0, 0, 0, 1, 0]",501.0,106.0
1207,2871,"[0, 0, 0, 1, 0]",365.0,78.0
