from_stop_I,to_stop_I,label,d,n_vehicles
1,3,"[0, 1, 0, 0, 0]",738.0,460.0
3,1,"[0, 1, 0, 0, 0]",738.0,465.0
3,5,"[0, 1, 0, 0, 0]",906.0,461.0
5,3,"[0, 1, 0, 0, 0]",906.0,465.0
5,7,"[0, 1, 0, 0, 0]",990.0,461.0
7,5,"[0, 1, 0, 0, 0]",990.0,465.0
7,9,"[0, 1, 0, 0, 0]",649.0,463.0
9,7,"[0, 1, 0, 0, 0]",649.0,465.0
9,11,"[0, 1, 0, 0, 0]",2468.0,464.0
11,9,"[0, 1, 0, 0, 0]",2468.0,465.0
11,25250,"[0, 1, 0, 0, 0]",1275.0,465.0
13,15,"[0, 1, 0, 0, 0]",667.0,466.0
13,25250,"[0, 1, 0, 0, 0]",819.0,464.0
15,13,"[0, 1, 0, 0, 0]",667.0,463.0
17,109,"[0, 1, 0, 0, 0]",1086.0,230.0
19,261,"[0, 0, 1, 0, 0]",1579.0,98.0
19,371,"[0, 0, 1, 0, 0]",5120.0,107.0
21,58,"[0, 0, 1, 0, 0]",1890.0,113.0
21,162,"[0, 0, 1, 0, 0]",1200.0,120.0
22,101,"[0, 1, 0, 0, 0]",290.0,383.0
22,204,"[0, 1, 0, 0, 0]",532.0,384.0
23,257,"[0, 1, 0, 0, 0]",396.0,387.0
23,307,"[0, 1, 0, 0, 0]",563.0,387.0
24,83,"[0, 0, 1, 0, 0]",4099.0,176.0
24,216,"[0, 0, 1, 0, 0]",2696.0,298.0
24,312,"[0, 0, 1, 0, 0]",2332.0,126.0
25,85,"[0, 1, 0, 0, 0]",552.0,349.0
25,167,"[0, 1, 0, 0, 0]",376.0,349.0
26,107,"[0, 1, 0, 0, 0]",671.0,382.0
26,388,"[0, 1, 0, 0, 0]",497.0,382.0
27,171,"[0, 1, 0, 0, 0]",633.0,387.0
27,257,"[0, 1, 0, 0, 0]",419.0,387.0
28,362,"[0, 1, 0, 0, 0]",383.0,215.0
29,220,"[0, 0, 1, 0, 0]",2908.0,7.0
29,221,"[0, 0, 1, 0, 0]",5436.0,31.0
29,238,"[0, 0, 1, 0, 0]",1616.0,131.0
29,261,"[0, 0, 1, 0, 0]",9793.0,8.0
