from_stop_I,to_stop_I,label,d,n_vehicles
1,2,"[0, 0, 0, 1, 0]",400.0,97.0
2,3,"[0, 0, 0, 1, 0]",221.0,97.0
3,4,"[0, 0, 0, 1, 0]",289.0,97.0
4,5,"[0, 0, 0, 1, 0]",342.0,130.0
5,6,"[0, 0, 0, 1, 0]",349.0,130.0
6,7,"[0, 0, 0, 1, 0]",332.0,97.0
6,99,"[0, 0, 0, 1, 0]",233.0,33.0
7,8,"[0, 0, 0, 1, 0]",432.0,97.0
7,528,"[0, 0, 0, 1, 0]",475.0,56.0
8,9,"[0, 0, 0, 1, 0]",282.0,107.0
9,10,"[0, 0, 0, 1, 0]",428.0,206.0
9,11,"[0, 0, 0, 1, 0]",708.0,10.0
10,11,"[0, 0, 0, 1, 0]",288.0,265.0
11,12,"[0, 0, 0, 1, 0]",332.0,206.0
11,497,"[0, 0, 0, 1, 0]",292.0,33.0
11,509,"[0, 0, 0, 1, 0]",494.0,86.0
12,13,"[0, 0, 0, 1, 0]",439.0,313.0
13,14,"[0, 0, 0, 1, 0]",167.0,313.0
14,23,"[0, 0, 0, 1, 0]",283.0,313.0
15,24,"[0, 0, 0, 1, 0]",296.0,316.0
16,17,"[0, 0, 0, 1, 0]",252.0,264.0
16,80,"[0, 0, 0, 1, 0]",405.0,93.0
17,18,"[0, 0, 0, 1, 0]",304.0,155.0
17,357,"[0, 0, 0, 1, 0]",317.0,109.0
18,235,"[0, 0, 0, 1, 0]",337.0,155.0
19,654,"[0, 0, 0, 1, 0]",411.0,48.0
20,21,"[0, 0, 0, 1, 0]",257.0,267.0
21,22,"[0, 0, 0, 1, 0]",211.0,267.0
22,15,"[0, 0, 0, 1, 0]",223.0,312.0
22,515,"[0, 0, 0, 1, 0]",233.0,49.0
23,16,"[0, 0, 0, 1, 0]",173.0,309.0
24,25,"[0, 0, 0, 1, 0]",242.0,373.0
25,26,"[0, 0, 0, 1, 0]",296.0,207.0
25,162,"[0, 0, 0, 1, 0]",282.0,57.0
25,247,"[0, 0, 0, 1, 0]",273.0,109.0
26,12,"[0, 0, 0, 1, 0]",261.0,107.0
26,27,"[0, 0, 0, 1, 0]",286.0,207.0
26,28,"[0, 0, 0, 1, 0]",589.0,11.0
26,176,"[0, 0, 0, 1, 0]",317.0,34.0
26,486,"[0, 0, 0, 1, 0]",455.0,59.0
27,28,"[0, 0, 0, 1, 0]",305.0,207.0
28,29,"[0, 0, 0, 1, 0]",262.0,207.0
28,30,"[0, 0, 0, 1, 0]",687.0,11.0
29,30,"[0, 0, 0, 1, 0]",425.0,207.0
30,31,"[0, 0, 0, 1, 0]",258.0,98.0
30,358,"[0, 0, 0, 1, 0]",370.0,109.0
30,383,"[0, 0, 0, 1, 0]",282.0,11.0
31,32,"[0, 0, 0, 1, 0]",383.0,153.0
32,33,"[0, 0, 0, 1, 0]",342.0,98.0
32,530,"[0, 0, 0, 1, 0]",329.0,55.0
33,34,"[0, 0, 0, 1, 0]",438.0,131.0
34,35,"[0, 0, 0, 1, 0]",315.0,131.0
35,36,"[0, 0, 0, 1, 0]",294.0,98.0
35,427,"[0, 0, 0, 1, 0]",471.0,33.0
36,37,"[0, 0, 0, 1, 0]",209.0,98.0
37,38,"[0, 0, 0, 1, 0]",362.0,98.0
38,551,"[0, 0, 0, 1, 0]",344.0,98.0
39,91,"[0, 0, 0, 1, 0]",322.0,148.0
39,378,"[0, 0, 0, 1, 0]",271.0,55.0
40,92,"[0, 0, 0, 1, 0]",299.0,200.0
41,42,"[0, 0, 0, 1, 0]",197.0,148.0
42,43,"[0, 0, 0, 1, 0]",203.0,89.0
42,297,"[0, 0, 0, 1, 0]",237.0,59.0
43,44,"[0, 0, 0, 1, 0]",509.0,89.0
44,45,"[0, 0, 0, 1, 0]",274.0,89.0
45,46,"[0, 0, 0, 1, 0]",347.0,122.0
46,47,"[0, 0, 0, 1, 0]",360.0,89.0
46,166,"[0, 0, 0, 1, 0]",361.0,33.0
47,48,"[0, 0, 0, 1, 0]",176.0,89.0
48,82,"[0, 0, 0, 1, 0]",316.0,89.0
49,83,"[0, 0, 0, 1, 0]",301.0,87.0
49,192,"[0, 0, 0, 1, 0]",543.0,173.0
49,357,"[0, 0, 0, 1, 0]",492.0,84.0
50,49,"[0, 0, 0, 1, 0]",327.0,191.0
51,22,"[0, 0, 0, 1, 0]",366.0,94.0
51,191,"[0, 0, 0, 1, 0]",424.0,66.0
51,283,"[0, 0, 0, 1, 0]",319.0,87.0
52,51,"[0, 0, 0, 1, 0]",188.0,247.0
53,52,"[0, 0, 0, 1, 0]",241.0,247.0
54,53,"[0, 0, 0, 1, 0]",413.0,247.0
55,56,"[0, 0, 0, 1, 0]",344.0,89.0
56,57,"[0, 0, 0, 1, 0]",363.0,89.0
57,58,"[0, 0, 0, 1, 0]",349.0,89.0
58,59,"[0, 0, 0, 1, 0]",328.0,89.0
59,72,"[0, 0, 0, 1, 0]",340.0,89.0
61,62,"[0, 0, 0, 1, 0]",308.0,155.0
62,63,"[0, 0, 0, 1, 0]",303.0,155.0
63,64,"[0, 0, 0, 1, 0]",246.0,155.0
64,65,"[0, 0, 0, 1, 0]",232.0,155.0
65,66,"[0, 0, 0, 1, 0]",206.0,89.0
65,529,"[0, 0, 0, 1, 0]",169.0,66.0
66,67,"[0, 0, 0, 1, 0]",166.0,87.0
67,68,"[0, 0, 0, 1, 0]",293.0,154.0
68,69,"[0, 0, 0, 1, 0]",263.0,154.0
69,70,"[0, 0, 0, 1, 0]",265.0,154.0
70,71,"[0, 0, 0, 1, 0]",269.0,154.0
71,471,"[0, 0, 0, 1, 0]",378.0,67.0
71,538,"[0, 0, 0, 1, 0]",355.0,87.0
72,61,"[0, 0, 0, 1, 0]",362.0,89.0
73,74,"[0, 0, 0, 1, 0]",364.0,87.0
74,75,"[0, 0, 0, 1, 0]",478.0,87.0
75,76,"[0, 0, 0, 1, 0]",363.0,87.0
76,77,"[0, 0, 0, 1, 0]",274.0,87.0
77,190,"[0, 0, 0, 1, 0]",431.0,87.0
78,216,"[0, 0, 0, 1, 0]",473.0,249.0
79,425,"[0, 0, 0, 1, 0]",178.0,249.0
80,79,"[0, 0, 0, 1, 0]",246.0,249.0
80,493,"[0, 0, 0, 1, 0]",223.0,77.0
80,505,"[0, 0, 0, 1, 0]",243.0,25.0
81,80,"[0, 0, 0, 1, 0]",325.0,89.0
82,81,"[0, 0, 0, 1, 0]",439.0,89.0
82,147,"[0, 0, 0, 1, 0]",374.0,192.0
82,215,"[0, 0, 0, 1, 0]",320.0,67.0
83,84,"[0, 0, 0, 1, 0]",255.0,87.0
84,85,"[0, 0, 0, 1, 0]",314.0,87.0
85,86,"[0, 0, 0, 1, 0]",412.0,121.0
86,87,"[0, 0, 0, 1, 0]",218.0,87.0
86,173,"[0, 0, 0, 1, 0]",321.0,34.0
87,88,"[0, 0, 0, 1, 0]",364.0,87.0
88,89,"[0, 0, 0, 1, 0]",369.0,87.0
89,90,"[0, 0, 0, 1, 0]",201.0,144.0
90,40,"[0, 0, 0, 1, 0]",431.0,144.0
91,41,"[0, 0, 0, 1, 0]",353.0,148.0
92,329,"[0, 0, 0, 1, 0]",205.0,200.0
93,94,"[0, 0, 0, 1, 0]",453.0,92.0
94,95,"[0, 0, 0, 1, 0]",228.0,92.0
95,96,"[0, 0, 0, 1, 0]",293.0,92.0
96,97,"[0, 0, 0, 1, 0]",377.0,92.0
97,98,"[0, 0, 0, 1, 0]",281.0,92.0
98,518,"[0, 0, 0, 1, 0]",362.0,92.0
99,100,"[0, 0, 0, 1, 0]",141.0,92.0
99,180,"[0, 0, 0, 1, 0]",172.0,55.0
99,384,"[0, 0, 0, 1, 0]",170.0,33.0
100,101,"[0, 0, 0, 1, 0]",446.0,92.0
100,158,"[0, 0, 0, 1, 0]",410.0,33.0
101,102,"[0, 0, 0, 1, 0]",269.0,92.0
102,103,"[0, 0, 0, 1, 0]",278.0,92.0
103,104,"[0, 0, 0, 1, 0]",239.0,92.0
104,105,"[0, 0, 0, 1, 0]",175.0,92.0
105,106,"[0, 0, 0, 1, 0]",339.0,92.0
106,533,"[0, 0, 0, 1, 0]",217.0,92.0
107,108,"[0, 0, 0, 1, 0]",434.0,92.0
108,109,"[0, 0, 0, 1, 0]",347.0,151.0
109,110,"[0, 0, 0, 1, 0]",433.0,151.0
110,111,"[0, 0, 0, 1, 0]",199.0,92.0
110,124,"[0, 0, 0, 1, 0]",219.0,59.0
111,112,"[0, 0, 0, 1, 0]",278.0,92.0
112,113,"[0, 0, 0, 1, 0]",214.0,92.0
113,114,"[0, 0, 0, 1, 0]",332.0,92.0
114,115,"[0, 0, 0, 1, 0]",220.0,92.0
115,116,"[0, 0, 0, 1, 0]",423.0,92.0
116,117,"[0, 0, 0, 1, 0]",234.0,92.0
117,521,"[0, 0, 0, 1, 0]",342.0,147.0
118,119,"[0, 0, 0, 1, 0]",320.0,92.0
118,400,"[0, 0, 0, 1, 0]",194.0,56.0
119,120,"[0, 0, 0, 1, 0]",334.0,92.0
120,121,"[0, 0, 0, 1, 0]",279.0,92.0
121,122,"[0, 0, 0, 1, 0]",308.0,92.0
122,123,"[0, 0, 0, 1, 0]",235.0,92.0
123,300,"[0, 0, 0, 1, 0]",266.0,92.0
124,301,"[0, 0, 0, 1, 0]",233.0,59.0
125,548,"[0, 0, 0, 1, 0]",164.0,149.0
126,127,"[0, 0, 0, 1, 0]",444.0,57.0
126,481,"[0, 0, 0, 1, 0]",403.0,92.0
127,325,"[0, 0, 0, 1, 0]",169.0,57.0
128,129,"[0, 0, 0, 1, 0]",507.0,92.0
129,130,"[0, 0, 0, 1, 0]",243.0,92.0
130,131,"[0, 0, 0, 1, 0]",214.0,92.0
131,132,"[0, 0, 0, 1, 0]",356.0,92.0
132,133,"[0, 0, 0, 1, 0]",369.0,92.0
133,134,"[0, 0, 0, 1, 0]",220.0,92.0
133,181,"[0, 0, 0, 1, 0]",585.0,34.0
134,33,"[0, 0, 0, 1, 0]",174.0,33.0
134,531,"[0, 0, 0, 1, 0]",217.0,148.0
135,136,"[0, 0, 0, 1, 0]",293.0,92.0
136,137,"[0, 0, 0, 1, 0]",351.0,92.0
137,138,"[0, 0, 0, 1, 0]",318.0,92.0
138,331,"[0, 0, 0, 1, 0]",243.0,92.0
139,332,"[0, 0, 0, 1, 0]",189.0,164.0
140,141,"[0, 0, 0, 1, 0]",536.0,9.0
140,506,"[0, 0, 0, 1, 0]",292.0,198.0
141,143,"[0, 0, 0, 1, 0]",1482.0,9.0
141,508,"[0, 0, 0, 1, 0]",941.0,201.0
142,143,"[0, 0, 0, 1, 0]",255.0,201.0
142,145,"[0, 0, 0, 1, 0]",1090.0,64.0
142,487,"[0, 0, 0, 1, 0]",1277.0,37.0
143,144,"[0, 0, 0, 1, 0]",467.0,201.0
143,549,"[0, 0, 0, 1, 0]",826.0,9.0
144,145,"[0, 0, 0, 1, 0]",367.0,201.0
145,50,"[0, 0, 0, 1, 0]",276.0,191.0
145,146,"[0, 0, 0, 1, 0]",272.0,31.0
145,147,"[0, 0, 0, 1, 0]",272.0,10.0
145,490,"[0, 0, 0, 1, 0]",224.0,33.0
146,148,"[0, 0, 0, 1, 0]",319.0,31.0
146,476,"[0, 0, 0, 1, 0]",482.0,39.0
147,148,"[0, 0, 0, 1, 0]",321.0,203.0
148,149,"[0, 0, 0, 1, 0]",406.0,203.0
148,151,"[0, 0, 0, 1, 0]",1134.0,100.0
149,150,"[0, 0, 0, 1, 0]",401.0,203.0
150,151,"[0, 0, 0, 1, 0]",326.0,203.0
150,153,"[0, 0, 0, 1, 0]",1562.0,7.0
151,152,"[0, 0, 0, 1, 0]",227.0,203.0
151,385,"[0, 0, 0, 1, 0]",443.0,36.0
151,456,"[0, 0, 0, 1, 0]",954.0,64.0
152,153,"[0, 0, 0, 1, 0]",1019.0,203.0
153,507,"[0, 0, 0, 1, 0]",192.0,201.0
153,511,"[0, 0, 0, 1, 0]",538.0,7.0
154,183,"[0, 0, 0, 1, 0]",288.0,181.0
155,280,"[0, 0, 0, 1, 0]",288.0,183.0
156,157,"[0, 0, 0, 1, 0]",357.0,120.0
157,100,"[0, 0, 0, 1, 0]",575.0,33.0
157,134,"[0, 0, 0, 1, 0]",506.0,56.0
157,384,"[0, 0, 0, 1, 0]",504.0,31.0
158,159,"[0, 0, 0, 1, 0]",281.0,33.0
159,178,"[0, 0, 0, 1, 0]",253.0,33.0
160,179,"[0, 0, 0, 1, 0]",466.0,34.0
161,10,"[0, 0, 0, 1, 0]",392.0,33.0
162,163,"[0, 0, 0, 1, 0]",199.0,33.0
162,326,"[0, 0, 0, 1, 0]",167.0,57.0
163,164,"[0, 0, 0, 1, 0]",268.0,33.0
164,165,"[0, 0, 0, 1, 0]",251.0,33.0
165,45,"[0, 0, 0, 1, 0]",358.0,33.0
166,171,"[0, 0, 0, 1, 0]",260.0,33.0
167,172,"[0, 0, 0, 1, 0]",318.0,34.0
167,262,"[0, 0, 0, 1, 0]",402.0,108.0
168,169,"[0, 0, 0, 1, 0]",252.0,33.0
169,170,"[0, 0, 0, 1, 0]",357.0,34.0
170,167,"[0, 0, 0, 1, 0]",198.0,142.0
171,168,"[0, 0, 0, 1, 0]",331.0,33.0
171,263,"[0, 0, 0, 1, 0]",307.0,107.0
172,85,"[0, 0, 0, 1, 0]",357.0,34.0
173,174,"[0, 0, 0, 1, 0]",183.0,34.0
174,175,"[0, 0, 0, 1, 0]",197.0,34.0
175,26,"[0, 0, 0, 1, 0]",367.0,34.0
176,177,"[0, 0, 0, 1, 0]",326.0,34.0
177,160,"[0, 0, 0, 1, 0]",467.0,34.0
178,161,"[0, 0, 0, 1, 0]",147.0,33.0
179,133,"[0, 0, 0, 1, 0]",415.0,34.0
180,181,"[0, 0, 0, 1, 0]",399.0,86.0
181,182,"[0, 0, 0, 1, 0]",419.0,120.0
182,155,"[0, 0, 0, 1, 0]",469.0,34.0
182,282,"[0, 0, 0, 1, 0]",556.0,55.0
182,592,"[0, 0, 0, 1, 0]",1022.0,31.0
183,156,"[0, 0, 0, 1, 0]",445.0,33.0
183,281,"[0, 0, 0, 1, 0]",337.0,148.0
184,527,"[0, 0, 0, 1, 0]",543.0,67.0
185,186,"[0, 0, 0, 1, 0]",514.0,66.0
186,187,"[0, 0, 0, 1, 0]",389.0,66.0
187,218,"[0, 0, 0, 1, 0]",242.0,66.0
188,219,"[0, 0, 0, 1, 0]",275.0,67.0
189,190,"[0, 0, 0, 1, 0]",376.0,160.0
190,54,"[0, 0, 0, 1, 0]",509.0,247.0
191,49,"[0, 0, 0, 1, 0]",270.0,66.0
191,476,"[0, 0, 0, 1, 0]",409.0,100.0
192,193,"[0, 0, 0, 1, 0]",303.0,173.0
193,194,"[0, 0, 0, 1, 0]",283.0,166.0
193,261,"[0, 0, 0, 1, 0]",372.0,146.0
194,195,"[0, 0, 0, 1, 0]",436.0,66.0
