from_stop_I,to_stop_I,label,d,n_vehicles
1,963,"[0, 0, 0, 1, 0]",261.0,28.0
2,3048,"[0, 0, 0, 1, 0]",297.0,97.0
4,2886,"[0, 0, 0, 1, 0]",273.0,44.0
6,691,"[0, 0, 0, 1, 0]",257.0,38.0
6,2055,"[0, 0, 0, 1, 0]",320.0,71.0
9,1021,"[0, 0, 0, 1, 0]",816.0,27.0
12,352,"[0, 0, 0, 1, 0]",383.0,289.0
12,2903,"[0, 0, 0, 1, 0]",274.0,64.0
13,917,"[0, 0, 0, 1, 0]",196.0,102.0
15,2674,"[0, 0, 0, 1, 0]",260.0,64.0
17,1975,"[0, 0, 0, 1, 0]",377.0,14.0
18,1199,"[0, 0, 0, 1, 0]",248.0,50.0
19,1789,"[0, 0, 0, 1, 0]",416.0,35.0
21,1983,"[0, 0, 0, 1, 0]",213.0,51.0
22,1426,"[0, 0, 0, 1, 0]",130.0,145.0
23,226,"[0, 0, 0, 1, 0]",160.0,147.0
24,1883,"[0, 0, 0, 1, 0]",327.0,349.0
25,397,"[0, 0, 0, 1, 0]",231.0,144.0
27,485,"[0, 0, 0, 1, 0]",614.0,42.0
28,2235,"[0, 0, 0, 1, 0]",304.0,102.0
29,2726,"[0, 0, 0, 1, 0]",462.0,13.0
30,508,"[0, 0, 0, 1, 0]",217.0,69.0
31,1219,"[0, 0, 0, 1, 0]",590.0,139.0
32,1446,"[0, 0, 0, 1, 0]",499.0,10.0
33,1063,"[0, 0, 0, 1, 0]",483.0,36.0
36,95,"[0, 0, 0, 1, 0]",223.0,23.0
37,1661,"[0, 0, 0, 1, 0]",410.0,59.0
42,510,"[0, 0, 0, 1, 0]",195.0,21.0
43,1359,"[0, 0, 0, 1, 0]",422.0,56.0
44,377,"[0, 0, 0, 1, 0]",211.0,103.0
45,1302,"[0, 0, 0, 1, 0]",195.0,136.0
47,2590,"[0, 0, 0, 1, 0]",274.0,101.0
47,2765,"[0, 0, 0, 1, 0]",297.0,37.0
48,1800,"[0, 0, 0, 1, 0]",4927.0,18.0
48,2951,"[0, 0, 0, 1, 0]",2067.0,30.0
49,1423,"[0, 0, 0, 1, 0]",356.0,44.0
49,1573,"[0, 0, 0, 1, 0]",229.0,45.0
52,2337,"[0, 0, 0, 1, 0]",653.0,3.0
52,3001,"[0, 0, 0, 1, 0]",273.0,7.0
54,573,"[0, 0, 0, 1, 0]",1001.0,16.0
58,307,"[0, 0, 0, 1, 0]",311.0,8.0
58,2293,"[0, 0, 0, 1, 0]",180.0,178.0
60,1993,"[0, 0, 0, 1, 0]",363.0,179.0
60,2371,"[0, 0, 0, 1, 0]",291.0,196.0
63,21,"[0, 0, 0, 1, 0]",363.0,3.0
63,640,"[0, 0, 0, 1, 0]",414.0,177.0
63,3044,"[0, 0, 0, 1, 0]",405.0,4.0
64,605,"[0, 0, 0, 1, 0]",316.0,40.0
66,1280,"[0, 0, 0, 1, 0]",230.0,144.0
68,394,"[0, 0, 0, 1, 0]",361.0,41.0
69,299,"[0, 0, 0, 1, 0]",257.0,36.0
70,1628,"[0, 0, 0, 1, 0]",229.0,45.0
71,2367,"[0, 0, 0, 1, 0]",113.0,20.0
72,1810,"[0, 0, 0, 1, 0]",132.0,19.0
73,1099,"[0, 0, 0, 1, 0]",197.0,102.0
74,2095,"[0, 0, 0, 1, 0]",263.0,7.0
75,315,"[0, 0, 0, 1, 0]",369.0,102.0
76,1873,"[0, 0, 0, 1, 0]",283.0,24.0
77,2592,"[0, 0, 0, 1, 0]",273.0,140.0
79,1858,"[0, 0, 0, 1, 0]",363.0,91.0
79,2822,"[0, 0, 0, 1, 0]",270.0,51.0
82,66,"[0, 0, 0, 1, 0]",248.0,93.0
82,2541,"[0, 0, 0, 1, 0]",524.0,2.0
83,1223,"[0, 0, 0, 1, 0]",511.0,87.0
84,1428,"[0, 0, 0, 1, 0]",579.0,16.0
85,1659,"[0, 0, 0, 1, 0]",602.0,43.0
86,958,"[0, 0, 0, 1, 0]",333.0,217.0
86,1158,"[0, 0, 0, 1, 0]",282.0,7.0
87,1307,"[0, 0, 0, 1, 0]",701.0,132.0
87,2058,"[0, 0, 0, 1, 0]",989.0,3.0
88,454,"[0, 0, 0, 1, 0]",917.0,72.0
88,3004,"[0, 0, 0, 1, 0]",997.0,4.0
90,2266,"[0, 0, 0, 1, 0]",213.0,46.0
91,3074,"[0, 0, 0, 1, 0]",299.0,257.0
92,2568,"[0, 0, 0, 1, 0]",334.0,65.0
93,2861,"[0, 0, 0, 1, 0]",385.0,16.0
95,1309,"[0, 0, 0, 1, 0]",76.0,1.0
95,1723,"[0, 0, 0, 1, 0]",233.0,16.0
95,2609,"[0, 0, 0, 1, 0]",266.0,6.0
96,1239,"[0, 0, 0, 1, 0]",135.0,27.0
98,1452,"[0, 0, 0, 1, 0]",251.0,22.0
98,2832,"[0, 0, 0, 1, 0]",325.0,73.0
100,1589,"[0, 0, 0, 1, 0]",232.0,102.0
101,802,"[0, 0, 0, 1, 0]",463.0,8.0
101,2109,"[0, 0, 0, 1, 0]",451.0,102.0
103,2779,"[0, 0, 0, 1, 0]",378.0,34.0
104,2408,"[0, 0, 0, 1, 0]",142.0,129.0
111,1007,"[0, 0, 0, 1, 0]",194.0,7.0
111,2186,"[0, 0, 0, 1, 0]",408.0,51.0
112,1369,"[0, 0, 0, 1, 0]",343.0,11.0
112,2339,"[0, 0, 0, 1, 0]",425.0,97.0
112,2534,"[0, 0, 0, 1, 0]",439.0,27.0
114,2656,"[0, 0, 0, 1, 0]",311.0,126.0
114,2790,"[0, 0, 0, 1, 0]",250.0,58.0
115,673,"[0, 0, 0, 1, 0]",445.0,1.0
116,714,"[0, 0, 0, 1, 0]",187.0,15.0
117,243,"[0, 0, 0, 1, 0]",491.0,6.0
118,2680,"[0, 0, 0, 1, 0]",217.0,60.0
121,988,"[0, 0, 0, 1, 0]",376.0,73.0
122,116,"[0, 0, 0, 1, 0]",222.0,15.0
124,1374,"[0, 0, 0, 1, 0]",320.0,22.0
125,2127,"[0, 0, 0, 1, 0]",634.0,1.0
128,288,"[0, 0, 0, 1, 0]",1063.0,1.0
128,641,"[0, 0, 0, 1, 0]",976.0,16.0
129,820,"[0, 0, 0, 1, 0]",626.0,52.0
130,1031,"[0, 0, 0, 1, 0]",357.0,14.0
131,2084,"[0, 0, 0, 1, 0]",693.0,135.0
132,1026,"[0, 0, 0, 1, 0]",148.0,16.0
137,1108,"[0, 0, 0, 1, 0]",531.0,50.0
138,1802,"[0, 0, 0, 1, 0]",187.0,208.0
139,2104,"[0, 0, 0, 1, 0]",508.0,97.0
140,305,"[0, 0, 0, 1, 0]",480.0,20.0
142,1117,"[0, 0, 0, 1, 0]",171.0,24.0
144,2070,"[0, 0, 0, 1, 0]",466.0,36.0
144,3020,"[0, 0, 0, 1, 0]",529.0,16.0
146,1087,"[0, 0, 0, 1, 0]",219.0,3.0
146,2059,"[0, 0, 0, 1, 0]",416.0,34.0
148,550,"[0, 0, 0, 1, 0]",149.0,137.0
149,1109,"[0, 0, 0, 1, 0]",472.0,8.0
150,724,"[0, 0, 0, 1, 0]",381.0,59.0
152,1517,"[0, 0, 0, 1, 0]",380.0,53.0
153,193,"[0, 0, 0, 1, 0]",122.0,7.0
153,1012,"[0, 0, 0, 1, 0]",637.0,52.0
155,289,"[0, 0, 0, 1, 0]",289.0,18.0
159,2061,"[0, 0, 0, 1, 0]",404.0,54.0
160,2881,"[0, 0, 0, 1, 0]",283.0,21.0
162,2436,"[0, 0, 0, 1, 0]",302.0,30.0
164,1287,"[0, 0, 0, 1, 0]",240.0,36.0
166,215,"[0, 0, 0, 1, 0]",279.0,78.0
167,365,"[0, 0, 0, 1, 0]",333.0,73.0
168,615,"[0, 0, 0, 1, 0]",243.0,70.0
168,1191,"[0, 0, 0, 1, 0]",476.0,19.0
170,15,"[0, 0, 0, 1, 0]",459.0,28.0
173,1787,"[0, 0, 0, 1, 0]",192.0,71.0
175,766,"[0, 0, 0, 1, 0]",238.0,106.0
177,1402,"[0, 0, 0, 1, 0]",167.0,45.0
178,66,"[0, 0, 0, 1, 0]",629.0,2.0
179,1375,"[0, 0, 0, 1, 0]",206.0,46.0
180,398,"[0, 0, 0, 1, 0]",478.0,7.0
180,1703,"[0, 0, 0, 1, 0]",542.0,7.0
183,1098,"[0, 0, 0, 1, 0]",380.0,36.0
184,561,"[0, 0, 0, 1, 0]",279.0,219.0
187,1865,"[0, 0, 0, 1, 0]",311.0,44.0
188,1987,"[0, 0, 0, 1, 0]",379.0,36.0
190,2965,"[0, 0, 0, 1, 0]",303.0,53.0
191,529,"[0, 0, 0, 1, 0]",219.0,37.0
193,546,"[0, 0, 0, 1, 0]",159.0,12.0
194,2798,"[0, 0, 0, 1, 0]",178.0,44.0
196,690,"[0, 0, 0, 1, 0]",211.0,100.0
197,2756,"[0, 0, 0, 1, 0]",702.0,69.0
199,2435,"[0, 0, 0, 1, 0]",552.0,20.0
200,708,"[0, 0, 0, 1, 0]",118.0,48.0
201,2222,"[0, 0, 0, 1, 0]",630.0,17.0
202,2627,"[0, 0, 0, 1, 0]",242.0,16.0
203,682,"[0, 0, 0, 1, 0]",352.0,92.0
204,2216,"[0, 0, 0, 1, 0]",982.0,30.0
205,2164,"[0, 0, 0, 1, 0]",364.0,217.0
208,1472,"[0, 0, 0, 1, 0]",453.0,26.0
211,1058,"[0, 0, 0, 1, 0]",267.0,49.0
213,2042,"[0, 0, 0, 1, 0]",673.0,6.0
214,1464,"[0, 0, 0, 1, 0]",865.0,13.0
215,1039,"[0, 0, 0, 1, 0]",59.0,6.0
215,2937,"[0, 0, 0, 1, 0]",262.0,72.0
216,166,"[0, 0, 0, 1, 0]",191.0,78.0
217,2528,"[0, 0, 0, 1, 0]",241.0,50.0
218,633,"[0, 0, 0, 1, 0]",269.0,186.0
218,813,"[0, 0, 0, 1, 0]",230.0,80.0
218,854,"[0, 0, 0, 1, 0]",198.0,97.0
218,2374,"[0, 0, 0, 1, 0]",224.0,18.0
218,2405,"[0, 0, 0, 1, 0]",140.0,2.0
219,1868,"[0, 0, 0, 1, 0]",304.0,16.0
221,1178,"[0, 0, 0, 1, 0]",391.0,67.0
221,2475,"[0, 0, 0, 1, 0]",378.0,128.0
222,765,"[0, 0, 0, 1, 0]",243.0,145.0
223,247,"[0, 0, 0, 1, 0]",552.0,16.0
223,3005,"[0, 0, 0, 1, 0]",625.0,17.0
225,1385,"[0, 0, 0, 1, 0]",262.0,87.0
226,2645,"[0, 0, 0, 1, 0]",160.0,147.0
228,1801,"[0, 0, 0, 1, 0]",246.0,135.0
229,1551,"[0, 0, 0, 1, 0]",256.0,34.0
231,863,"[0, 0, 0, 1, 0]",150.0,72.0
232,2455,"[0, 0, 0, 1, 0]",279.0,46.0
234,2264,"[0, 0, 0, 1, 0]",245.0,30.0
237,1209,"[0, 0, 0, 1, 0]",190.0,85.0
239,2870,"[0, 0, 0, 1, 0]",279.0,16.0
240,588,"[0, 0, 0, 1, 0]",234.0,33.0
241,69,"[0, 0, 0, 1, 0]",104.0,36.0
242,2090,"[0, 0, 0, 1, 0]",217.0,38.0
243,2532,"[0, 0, 0, 1, 0]",157.0,6.0
245,1452,"[0, 0, 0, 1, 0]",180.0,20.0
245,2832,"[0, 0, 0, 1, 0]",237.0,24.0
246,2102,"[0, 0, 0, 1, 0]",332.0,18.0
247,202,"[0, 0, 0, 1, 0]",167.0,16.0
248,2115,"[0, 0, 0, 1, 0]",300.0,111.0
249,19,"[0, 0, 0, 1, 0]",546.0,31.0
249,2906,"[0, 0, 0, 1, 0]",361.0,108.0
250,285,"[0, 0, 0, 1, 0]",649.0,37.0
250,356,"[0, 0, 0, 1, 0]",632.0,1.0
253,3047,"[0, 0, 0, 1, 0]",662.0,43.0
255,1220,"[0, 0, 0, 1, 0]",328.0,53.0
256,461,"[0, 0, 0, 1, 0]",226.0,50.0
257,203,"[0, 0, 0, 1, 0]",171.0,50.0
257,1582,"[0, 0, 0, 1, 0]",215.0,8.0
258,935,"[0, 0, 0, 1, 0]",196.0,144.0
259,2569,"[0, 0, 0, 1, 0]",266.0,17.0
261,1068,"[0, 0, 0, 1, 0]",150.0,150.0
262,442,"[0, 0, 0, 1, 0]",766.0,4.0
262,2455,"[0, 0, 0, 1, 0]",144.0,1.0
269,2512,"[0, 0, 0, 1, 0]",146.0,94.0
270,1452,"[0, 0, 0, 1, 0]",20.0,4.0
270,2832,"[0, 0, 0, 1, 0]",104.0,29.0
270,3029,"[0, 0, 0, 1, 0]",76.0,39.0
272,677,"[0, 0, 0, 1, 0]",250.0,27.0
273,2892,"[0, 0, 0, 1, 0]",22.0,93.0
276,853,"[0, 0, 0, 1, 0]",509.0,19.0
277,49,"[0, 0, 0, 1, 0]",267.0,89.0
278,2633,"[0, 0, 0, 1, 0]",338.0,85.0
279,1395,"[0, 0, 0, 1, 0]",533.0,4.0
279,1817,"[0, 0, 0, 1, 0]",429.0,4.0
280,1434,"[0, 0, 0, 1, 0]",320.0,66.0
281,467,"[0, 0, 0, 1, 0]",246.0,34.0
285,620,"[0, 0, 0, 1, 0]",358.0,39.0
286,2710,"[0, 0, 0, 1, 0]",350.0,16.0
287,2796,"[0, 0, 0, 1, 0]",421.0,36.0
287,2835,"[0, 0, 0, 1, 0]",435.0,1.0
288,115,"[0, 0, 0, 1, 0]",323.0,1.0
289,2847,"[0, 0, 0, 1, 0]",520.0,18.0
290,1833,"[0, 0, 0, 1, 0]",316.0,65.0
292,1424,"[0, 0, 0, 1, 0]",302.0,7.0
294,2202,"[0, 0, 0, 1, 0]",250.0,36.0
298,82,"[0, 0, 0, 1, 0]",573.0,93.0
298,2990,"[0, 0, 0, 1, 0]",516.0,14.0
299,2802,"[0, 0, 0, 1, 0]",296.0,36.0
302,159,"[0, 0, 0, 1, 0]",430.0,38.0
303,445,"[0, 0, 0, 1, 0]",390.0,31.0
305,2986,"[0, 0, 0, 1, 0]",316.0,20.0
307,665,"[0, 0, 0, 1, 0]",232.0,100.0
307,2405,"[0, 0, 0, 1, 0]",172.0,8.0
310,520,"[0, 0, 0, 1, 0]",352.0,79.0
310,2046,"[0, 0, 0, 1, 0]",447.0,135.0
310,2968,"[0, 0, 0, 1, 0]",313.0,104.0
312,77,"[0, 0, 0, 1, 0]",349.0,140.0
313,1593,"[0, 0, 0, 1, 0]",446.0,12.0
314,1448,"[0, 0, 0, 1, 0]",92.0,101.0
315,2169,"[0, 0, 0, 1, 0]",197.0,102.0
317,2287,"[0, 0, 0, 1, 0]",331.0,28.0
318,2806,"[0, 0, 0, 1, 0]",141.0,45.0
321,421,"[0, 0, 0, 1, 0]",215.0,98.0
325,249,"[0, 0, 0, 1, 0]",358.0,139.0
