from_stop_I,to_stop_I,label,d,n_vehicles
1,29,"[0, 0, 0, 0, 1]",455.0,137.0
1,77,"[0, 0, 0, 0, 1]",520.0,137.0
2,42,"[0, 0, 0, 0, 1]",392.0,93.0
2,73,"[0, 0, 0, 0, 1]",820.0,35.0
2,102,"[0, 0, 0, 0, 1]",449.0,129.0
3,38,"[0, 0, 0, 0, 1]",283.0,48.0
3,61,"[0, 0, 0, 0, 1]",427.0,52.0
5,15,"[0, 0, 0, 0, 1]",1550.0,36.0
6,15,"[0, 0, 0, 0, 1]",1517.0,31.0
6,75,"[0, 0, 0, 0, 1]",359.0,94.0
6,125,"[0, 0, 0, 0, 1]",2482.0,1.0
7,86,"[0, 0, 0, 0, 1]",253.0,128.0
8,36,"[0, 0, 0, 0, 1]",606.0,46.0
8,87,"[0, 0, 0, 0, 1]",398.0,11.0
8,91,"[0, 0, 0, 0, 1]",1155.0,84.0
9,10,"[0, 0, 0, 0, 1]",1550.0,24.0
9,15,"[0, 0, 0, 0, 1]",1960.0,24.0
10,9,"[0, 0, 0, 0, 1]",1550.0,24.0
10,11,"[0, 0, 0, 0, 1]",1764.0,24.0
10,15,"[0, 0, 0, 0, 1]",2658.0,2.0
11,10,"[0, 0, 0, 0, 1]",1764.0,26.0
11,12,"[0, 0, 0, 0, 1]",1268.0,23.0
12,11,"[0, 0, 0, 0, 1]",1268.0,25.0
12,120,"[0, 0, 0, 0, 1]",2130.0,22.0
13,27,"[0, 0, 0, 0, 1]",1833.0,49.0
14,25,"[0, 0, 0, 0, 1]",449.0,59.0
14,114,"[0, 0, 0, 0, 1]",426.0,6.0
14,115,"[0, 0, 0, 0, 1]",299.0,81.0
15,5,"[0, 0, 0, 0, 1]",1550.0,37.0
15,6,"[0, 0, 0, 0, 1]",1517.0,28.0
15,9,"[0, 0, 0, 0, 1]",1960.0,24.0
15,10,"[0, 0, 0, 0, 1]",2658.0,2.0
15,18,"[0, 0, 0, 0, 1]",5822.0,41.0
15,112,"[0, 0, 0, 0, 1]",1521.0,1.0
16,18,"[0, 0, 0, 0, 1]",806.0,3.0
16,24,"[0, 0, 0, 0, 1]",909.0,44.0
16,119,"[0, 0, 0, 0, 1]",891.0,3.0
17,23,"[0, 0, 0, 0, 1]",4295.0,2.0
17,81,"[0, 0, 0, 0, 1]",5963.0,24.0
18,15,"[0, 0, 0, 0, 1]",5822.0,40.0
18,16,"[0, 0, 0, 0, 1]",806.0,3.0
18,24,"[0, 0, 0, 0, 1]",568.0,2.0
18,119,"[0, 0, 0, 0, 1]",526.0,36.0
19,20,"[0, 0, 0, 0, 1]",1161.0,36.0
20,19,"[0, 0, 0, 0, 1]",1161.0,36.0
21,56,"[0, 0, 0, 0, 1]",488.0,89.0
23,17,"[0, 0, 0, 0, 1]",4295.0,2.0
24,12,"[0, 0, 0, 0, 1]",2153.0,3.0
24,16,"[0, 0, 0, 0, 1]",909.0,46.0
24,18,"[0, 0, 0, 0, 1]",568.0,37.0
25,113,"[0, 0, 0, 0, 1]",353.0,59.0
26,27,"[0, 0, 0, 0, 1]",695.0,66.0
26,74,"[0, 0, 0, 0, 1]",596.0,49.0
26,75,"[0, 0, 0, 0, 1]",997.0,14.0
27,13,"[0, 0, 0, 0, 1]",1833.0,48.0
27,26,"[0, 0, 0, 0, 1]",695.0,63.0
27,75,"[0, 0, 0, 0, 1]",1548.0,27.0
27,131,"[0, 0, 0, 0, 1]",951.0,45.0
28,30,"[0, 0, 0, 0, 1]",254.0,59.0
28,116,"[0, 0, 0, 0, 1]",273.0,6.0
28,117,"[0, 0, 0, 0, 1]",159.0,71.0
29,69,"[0, 0, 0, 0, 1]",859.0,49.0
29,76,"[0, 0, 0, 0, 1]",476.0,86.0
29,126,"[0, 0, 0, 0, 1]",916.0,2.0
30,115,"[0, 0, 0, 0, 1]",194.0,59.0
31,14,"[0, 0, 0, 0, 1]",470.0,63.0
31,118,"[0, 0, 0, 0, 1]",422.0,52.0
32,66,"[0, 0, 0, 0, 1]",605.0,88.0
32,72,"[0, 0, 0, 0, 1]",1076.0,12.0
34,52,"[0, 0, 0, 0, 1]",1886.0,35.0
34,66,"[0, 0, 0, 0, 1]",731.0,45.0
34,70,"[0, 0, 0, 0, 1]",1140.0,57.0
34,103,"[0, 0, 0, 0, 1]",2288.0,6.0
35,1,"[0, 0, 0, 0, 1]",539.0,129.0
35,102,"[0, 0, 0, 0, 1]",271.0,8.0
36,89,"[0, 0, 0, 0, 1]",214.0,97.0
36,91,"[0, 0, 0, 0, 1]",790.0,46.0
37,64,"[0, 0, 0, 0, 1]",732.0,41.0
37,65,"[0, 0, 0, 0, 1]",611.0,88.0
38,55,"[0, 0, 0, 0, 1]",258.0,40.0
38,110,"[0, 0, 0, 0, 1]",759.0,48.0
