from_stop_I,to_stop_I,label,d,n_vehicles
1,404,"[0, 0, 0, 1, 0]",1163.0,29.0
1,2252,"[0, 0, 0, 1, 0]",1940.0,69.0
1,5061,"[0, 0, 0, 1, 0]",572.0,124.0
2,5046,"[0, 0, 0, 1, 0]",129.0,64.0
3,182,"[0, 0, 0, 1, 0]",403.0,10.0
3,2697,"[0, 0, 0, 1, 0]",164.0,64.0
4,5061,"[0, 0, 0, 1, 0]",515.0,155.0
5,2364,"[0, 0, 0, 1, 0]",301.0,29.0
6,125,"[0, 0, 0, 1, 0]",218.0,15.0
7,2798,"[0, 0, 0, 1, 0]",124.0,32.0
8,404,"[0, 0, 0, 1, 0]",1111.0,62.0
8,5015,"[0, 0, 0, 1, 0]",1109.0,20.0
9,2676,"[0, 0, 0, 1, 0]",207.0,118.0
9,5061,"[0, 0, 0, 1, 0]",259.0,24.0
10,63,"[0, 0, 0, 1, 0]",261.0,9.0
11,2672,"[0, 0, 0, 1, 0]",203.0,8.0
12,15,"[0, 0, 0, 1, 0]",186.0,24.0
13,1491,"[0, 0, 0, 1, 0]",139.0,24.0
14,17,"[0, 0, 0, 1, 0]",125.0,26.0
15,14,"[0, 0, 0, 1, 0]",169.0,26.0
16,3319,"[0, 0, 0, 1, 0]",142.0,26.0
17,16,"[0, 0, 0, 1, 0]",171.0,26.0
18,153,"[0, 0, 0, 1, 0]",292.0,11.0
19,1673,"[0, 0, 0, 1, 0]",349.0,38.0
20,3097,"[0, 0, 0, 1, 0]",270.0,9.0
21,479,"[0, 0, 0, 1, 0]",199.0,39.0
21,785,"[0, 0, 0, 1, 0]",88.0,7.0
22,23,"[0, 0, 0, 1, 0]",211.0,11.0
23,330,"[0, 0, 0, 1, 0]",215.0,11.0
24,2879,"[0, 0, 0, 1, 0]",293.0,13.0
25,1159,"[0, 0, 0, 1, 0]",135.0,30.0
26,616,"[0, 0, 0, 1, 0]",89.0,11.0
27,1013,"[0, 0, 0, 1, 0]",218.0,11.0
28,29,"[0, 0, 0, 1, 0]",246.0,30.0
29,1016,"[0, 0, 0, 1, 0]",175.0,30.0
30,99,"[0, 0, 0, 1, 0]",67.0,78.0
30,3969,"[0, 0, 0, 1, 0]",162.0,528.0
30,4542,"[0, 0, 0, 1, 0]",124.0,224.0
31,2584,"[0, 0, 0, 1, 0]",376.0,16.0
32,883,"[0, 0, 0, 1, 0]",263.0,82.0
32,2090,"[0, 0, 0, 1, 0]",864.0,6.0
32,3152,"[0, 0, 0, 1, 0]",393.0,14.0
32,4195,"[0, 0, 0, 1, 0]",228.0,29.0
33,2677,"[0, 0, 0, 1, 0]",437.0,34.0
35,37,"[0, 0, 0, 1, 0]",171.0,16.0
36,3832,"[0, 0, 0, 1, 0]",68.0,29.0
37,2531,"[0, 0, 0, 1, 0]",355.0,16.0
38,320,"[0, 0, 0, 1, 0]",706.0,18.0
39,4772,"[0, 0, 0, 1, 0]",182.0,28.0
40,50,"[0, 0, 0, 1, 0]",159.0,29.0
41,3006,"[0, 0, 0, 1, 0]",207.0,22.0
42,4348,"[0, 0, 0, 1, 0]",278.0,30.0
43,210,"[0, 0, 0, 1, 0]",353.0,11.0
44,4278,"[0, 0, 0, 1, 0]",222.0,44.0
45,51,"[0, 0, 0, 1, 0]",202.0,28.0
46,3325,"[0, 0, 0, 1, 0]",211.0,59.0
47,372,"[0, 0, 0, 1, 0]",173.0,41.0
48,873,"[0, 0, 0, 1, 0]",645.0,41.0
49,39,"[0, 0, 0, 1, 0]",196.0,28.0
50,52,"[0, 0, 0, 1, 0]",216.0,29.0
51,49,"[0, 0, 0, 1, 0]",207.0,28.0
52,3714,"[0, 0, 0, 1, 0]",218.0,29.0
53,4682,"[0, 0, 0, 1, 0]",212.0,41.0
54,36,"[0, 0, 0, 1, 0]",154.0,29.0
55,2763,"[0, 0, 0, 1, 0]",217.0,47.0
56,1621,"[0, 0, 0, 1, 0]",201.0,69.0
57,393,"[0, 0, 0, 1, 0]",131.0,26.0
58,2546,"[0, 0, 0, 1, 0]",168.0,28.0
59,5014,"[0, 0, 0, 1, 0]",173.0,46.0
60,11,"[0, 0, 0, 1, 0]",231.0,8.0
60,3617,"[0, 0, 0, 1, 0]",371.0,55.0
61,3725,"[0, 0, 0, 1, 0]",360.0,9.0
62,58,"[0, 0, 0, 1, 0]",163.0,28.0
63,392,"[0, 0, 0, 1, 0]",171.0,82.0
64,66,"[0, 0, 0, 1, 0]",414.0,18.0
65,1149,"[0, 0, 0, 1, 0]",220.0,8.0
66,2908,"[0, 0, 0, 1, 0]",97.0,18.0
67,2616,"[0, 0, 0, 1, 0]",517.0,45.0
68,1898,"[0, 0, 0, 1, 0]",208.0,25.0
69,2184,"[0, 0, 0, 1, 0]",192.0,25.0
70,1,"[0, 0, 0, 1, 0]",163.0,45.0
71,70,"[0, 0, 0, 1, 0]",204.0,45.0
72,401,"[0, 0, 0, 1, 0]",187.0,172.0
73,74,"[0, 0, 0, 1, 0]",291.0,170.0
74,402,"[0, 0, 0, 1, 0]",154.0,170.0
75,1601,"[0, 0, 0, 1, 0]",305.0,38.0
76,4741,"[0, 0, 0, 1, 0]",225.0,9.0
77,243,"[0, 0, 0, 1, 0]",80.0,5.0
77,1598,"[0, 0, 0, 1, 0]",641.0,16.0
77,4902,"[0, 0, 0, 1, 0]",310.0,14.0
78,4417,"[0, 0, 0, 1, 0]",177.0,226.0
78,4803,"[0, 0, 0, 1, 0]",1252.0,26.0
79,73,"[0, 0, 0, 1, 0]",213.0,104.0
79,78,"[0, 0, 0, 1, 0]",100.0,252.0
79,397,"[0, 0, 0, 1, 0]",952.0,8.0
79,2227,"[0, 0, 0, 1, 0]",171.0,45.0
80,3060,"[0, 0, 0, 1, 0]",360.0,47.0
81,4212,"[0, 0, 0, 1, 0]",108.0,32.0
82,4267,"[0, 0, 0, 1, 0]",105.0,34.0
83,4210,"[0, 0, 0, 1, 0]",297.0,8.0
84,3002,"[0, 0, 0, 1, 0]",260.0,40.0
85,1937,"[0, 0, 0, 1, 0]",111.0,39.0
86,4985,"[0, 0, 0, 1, 0]",831.0,38.0
87,1136,"[0, 0, 0, 1, 0]",221.0,38.0
88,4422,"[0, 0, 0, 1, 0]",137.0,97.0
89,4181,"[0, 0, 0, 1, 0]",243.0,12.0
90,93,"[0, 0, 0, 1, 0]",260.0,49.0
91,148,"[0, 0, 0, 1, 0]",144.0,11.0
92,4826,"[0, 0, 0, 1, 0]",138.0,184.0
93,89,"[0, 0, 0, 1, 0]",150.0,12.0
93,3814,"[0, 0, 0, 1, 0]",197.0,37.0
94,100,"[0, 0, 0, 1, 0]",170.0,711.0
95,2918,"[0, 0, 0, 1, 0]",304.0,59.0
96,95,"[0, 0, 0, 1, 0]",174.0,59.0
96,3277,"[0, 0, 0, 1, 0]",124.0,109.0
97,96,"[0, 0, 0, 1, 0]",174.0,168.0
98,1506,"[0, 0, 0, 1, 0]",290.0,210.0
98,1949,"[0, 0, 0, 1, 0]",189.0,72.0
98,1950,"[0, 0, 0, 1, 0]",236.0,90.0
99,98,"[0, 0, 0, 1, 0]",70.0,84.0
99,165,"[0, 0, 0, 1, 0]",158.0,93.0
100,99,"[0, 0, 0, 1, 0]",96.0,99.0
100,4486,"[0, 0, 0, 1, 0]",180.0,598.0
100,4542,"[0, 0, 0, 1, 0]",142.0,16.0
101,1147,"[0, 0, 0, 1, 0]",206.0,11.0
102,4365,"[0, 0, 0, 1, 0]",326.0,11.0
103,1597,"[0, 0, 0, 1, 0]",689.0,21.0
104,4734,"[0, 0, 0, 1, 0]",288.0,31.0
105,976,"[0, 0, 0, 1, 0]",1498.0,34.0
106,108,"[0, 0, 0, 1, 0]",413.0,37.0
107,105,"[0, 0, 0, 1, 0]",372.0,34.0
108,1885,"[0, 0, 0, 1, 0]",259.0,37.0
109,4832,"[0, 0, 0, 1, 0]",214.0,29.0
110,106,"[0, 0, 0, 1, 0]",365.0,37.0
111,4580,"[0, 0, 0, 1, 0]",225.0,45.0
112,3090,"[0, 0, 0, 1, 0]",212.0,29.0
113,1267,"[0, 0, 0, 1, 0]",204.0,48.0
114,3316,"[0, 0, 0, 1, 0]",281.0,687.0
115,114,"[0, 0, 0, 1, 0]",341.0,358.0
115,4480,"[0, 0, 0, 1, 0]",204.0,617.0
116,4546,"[0, 0, 0, 1, 0]",217.0,429.0
117,115,"[0, 0, 0, 1, 0]",328.0,541.0
118,116,"[0, 0, 0, 1, 0]",318.0,212.0
118,117,"[0, 0, 0, 1, 0]",213.0,471.0
119,118,"[0, 0, 0, 1, 0]",152.0,660.0
119,4750,"[0, 0, 0, 1, 0]",169.0,50.0
120,119,"[0, 0, 0, 1, 0]",198.0,511.0
