from_stop_I,to_stop_I,label,d,n_vehicles
1,2,"[0, 0, 1, 0, 0]",616.0,36.0
2,3,"[0, 0, 1, 0, 0]",1456.0,36.0
3,4,"[0, 0, 1, 0, 0]",1506.0,36.0
3,5,"[0, 0, 1, 0, 0]",2557.0,21.0
3,8,"[0, 0, 1, 0, 0]",9522.0,3.0
4,5,"[0, 0, 1, 0, 0]",1059.0,36.0
5,6,"[0, 0, 1, 0, 0]",3145.0,34.0
5,8,"[0, 0, 1, 0, 0]",6965.0,23.0
6,7,"[0, 0, 1, 0, 0]",1805.0,34.0
7,8,"[0, 0, 1, 0, 0]",2025.0,34.0
8,9,"[0, 0, 1, 0, 0]",1928.0,34.0
8,11,"[0, 0, 1, 0, 0]",4400.0,26.0
9,10,"[0, 0, 1, 0, 0]",1002.0,34.0
10,11,"[0, 0, 1, 0, 0]",1522.0,34.0
11,12,"[0, 0, 1, 0, 0]",1740.0,36.0
11,14,"[0, 0, 1, 0, 0]",5460.0,24.0
12,13,"[0, 0, 1, 0, 0]",2527.0,34.0
12,14,"[0, 0, 1, 0, 0]",3731.0,2.0
13,14,"[0, 0, 1, 0, 0]",1252.0,34.0
14,15,"[0, 0, 1, 0, 0]",1388.0,34.0
14,16,"[0, 0, 1, 0, 0]",2489.0,23.0
14,19,"[0, 0, 1, 0, 0]",5359.0,4.0
15,16,"[0, 0, 1, 0, 0]",1141.0,34.0
16,17,"[0, 0, 1, 0, 0]",1137.0,34.0
16,19,"[0, 0, 1, 0, 0]",2896.0,23.0
17,18,"[0, 0, 1, 0, 0]",1067.0,34.0
18,19,"[0, 0, 1, 0, 0]",692.0,34.0
19,20,"[0, 0, 1, 0, 0]",4184.0,34.0
19,22,"[0, 0, 1, 0, 0]",8431.0,23.0
19,25,"[0, 0, 1, 0, 0]",13119.0,4.0
20,21,"[0, 0, 1, 0, 0]",2908.0,34.0
21,22,"[0, 0, 1, 0, 0]",1735.0,34.0
22,23,"[0, 0, 1, 0, 0]",1069.0,34.0
22,25,"[0, 0, 1, 0, 0]",5265.0,23.0
23,24,"[0, 0, 1, 0, 0]",1219.0,34.0
24,25,"[0, 0, 1, 0, 0]",3029.0,18.0
24,26,"[0, 0, 1, 0, 0]",1147.0,16.0
25,27,"[0, 0, 1, 0, 0]",2971.0,19.0
25,29,"[0, 0, 1, 0, 0]",5284.0,23.0
25,32,"[0, 0, 1, 0, 0]",13062.0,3.0
25,37,"[0, 0, 1, 0, 0]",18048.0,1.0
