from_stop_I,to_stop_I,label,d,n_vehicles
105,106,"[0, 0, 0, 1, 0]",233.0,159.0
105,107,"[0, 0, 0, 1, 0]",302.0,158.0
106,105,"[0, 0, 0, 1, 0]",233.0,158.0
106,117,"[0, 0, 0, 1, 0]",351.0,159.0
107,105,"[0, 0, 0, 1, 0]",302.0,159.0
107,109,"[0, 0, 0, 1, 0]",386.0,158.0
108,109,"[0, 0, 0, 1, 0]",299.0,159.0
108,345,"[0, 0, 0, 1, 0]",280.0,158.0
109,107,"[0, 0, 0, 1, 0]",386.0,159.0
109,108,"[0, 0, 0, 1, 0]",299.0,158.0
110,115,"[0, 0, 0, 1, 0]",185.0,45.0
110,226,"[0, 0, 0, 1, 0]",371.0,46.0
111,120,"[0, 1, 0, 1, 0]",469.0,123.0
111,217,"[0, 1, 0, 1, 0]",773.0,123.0
111,220,"[0, 0, 1, 0, 0]",1671.0,368.0
111,357,"[0, 0, 1, 0, 0]",1045.0,354.0
112,119,"[0, 0, 0, 1, 0]",628.0,159.0
112,212,"[0, 0, 0, 1, 0]",492.0,159.0
113,115,"[0, 0, 0, 1, 0]",904.0,46.0
113,146,"[0, 0, 0, 1, 0]",465.0,45.0
114,128,"[0, 0, 0, 1, 0]",158.0,119.0
114,146,"[0, 0, 0, 1, 0]",250.0,234.0
114,156,"[0, 0, 0, 1, 0]",279.0,114.0
115,110,"[0, 0, 0, 1, 0]",185.0,46.0
115,113,"[0, 0, 0, 1, 0]",904.0,45.0
116,137,"[0, 0, 0, 1, 0]",355.0,98.0
116,139,"[0, 0, 0, 1, 0]",602.0,98.0
117,106,"[0, 0, 0, 1, 0]",351.0,158.0
117,118,"[0, 0, 0, 1, 0]",391.0,128.0
117,137,"[0, 0, 0, 1, 0]",387.0,69.0
117,139,"[0, 0, 0, 1, 0]",720.0,219.0
117,143,"[0, 0, 0, 1, 0]",916.0,169.0
117,357,"[0, 0, 0, 1, 0]",776.0,169.0
118,117,"[0, 0, 0, 1, 0]",391.0,129.0
118,357,"[0, 0, 0, 1, 0]",385.0,128.0
119,112,"[0, 0, 0, 1, 0]",628.0,159.0
119,122,"[0, 0, 0, 1, 0]",507.0,220.0
