from_stop_I,to_stop_I,label,d,n_vehicles
1,869,"[0, 0, 0, 1, 0]",437.0,35.0
2,625,"[0, 0, 0, 1, 0]",416.0,94.0
3,28,"[0, 0, 0, 1, 0]",213.0,34.0
4,404,"[0, 0, 0, 1, 0]",319.0,93.0
4,2735,"[0, 0, 0, 1, 0]",273.0,104.0
5,2653,"[0, 0, 0, 1, 0]",626.0,208.0
6,857,"[0, 0, 0, 1, 0]",317.0,47.0
7,548,"[0, 0, 0, 1, 0]",356.0,46.0
8,1122,"[0, 0, 0, 1, 0]",386.0,41.0
9,1860,"[0, 0, 0, 1, 0]",423.0,93.0
10,433,"[0, 0, 0, 1, 0]",803.0,28.0
10,2647,"[0, 0, 0, 1, 0]",831.0,22.0
10,3102,"[0, 0, 0, 1, 0]",769.0,22.0
11,3209,"[0, 0, 0, 1, 0]",382.0,186.0
12,2243,"[0, 0, 0, 1, 0]",417.0,59.0
13,1939,"[0, 0, 0, 1, 0]",289.0,65.0
14,450,"[0, 0, 0, 1, 0]",300.0,21.0
15,973,"[0, 0, 0, 1, 0]",389.0,67.0
16,2001,"[0, 0, 0, 1, 0]",556.0,67.0
17,1874,"[0, 0, 0, 1, 0]",304.0,41.0
18,1135,"[0, 0, 0, 1, 0]",223.0,69.0
19,2168,"[0, 0, 0, 1, 0]",410.0,39.0
19,2403,"[0, 0, 0, 1, 0]",419.0,39.0
19,2411,"[0, 0, 0, 1, 0]",357.0,29.0
20,805,"[0, 0, 0, 1, 0]",277.0,35.0
21,284,"[0, 0, 0, 1, 0]",304.0,83.0
22,117,"[0, 0, 0, 1, 0]",280.0,54.0
23,266,"[0, 0, 0, 1, 0]",388.0,44.0
24,2007,"[0, 0, 0, 1, 0]",304.0,69.0
25,1615,"[0, 0, 0, 1, 0]",732.0,3.0
26,371,"[0, 0, 0, 1, 0]",390.0,104.0
26,3218,"[0, 0, 0, 1, 0]",386.0,28.0
27,133,"[0, 0, 0, 1, 0]",434.0,53.0
28,875,"[0, 0, 0, 1, 0]",228.0,34.0
29,2088,"[0, 0, 0, 1, 0]",166.0,23.0
30,611,"[0, 0, 0, 1, 0]",435.0,19.0
31,2346,"[0, 0, 0, 1, 0]",379.0,36.0
32,1844,"[0, 0, 0, 1, 0]",240.0,25.0
33,1611,"[0, 0, 0, 1, 0]",208.0,28.0
33,2661,"[0, 0, 0, 1, 0]",200.0,38.0
34,1482,"[0, 0, 0, 1, 0]",330.0,53.0
35,274,"[0, 0, 0, 1, 0]",511.0,2.0
36,697,"[0, 0, 0, 1, 0]",290.0,59.0
37,1232,"[0, 0, 0, 1, 0]",314.0,153.0
38,2761,"[0, 0, 0, 1, 0]",210.0,29.0
39,1533,"[0, 0, 0, 1, 0]",270.0,93.0
40,1757,"[0, 0, 0, 1, 0]",553.0,29.0
