from_stop_I,to_stop_I,label,d,n_vehicles
1,795,"[0, 0, 0, 1, 0]",410.0,56.0
1,2000,"[0, 0, 0, 1, 0]",452.0,54.0
2,3,"[0, 0, 0, 1, 0]",696.0,69.0
2,1038,"[0, 0, 0, 1, 0]",789.0,85.0
2,10841,"[0, 0, 0, 1, 0]",4101.0,5.0
3,12676,"[0, 0, 0, 1, 0]",144.0,69.0
4,462,"[0, 0, 0, 1, 0]",396.0,15.0
5,506,"[0, 0, 0, 1, 0]",457.0,23.0
6,9685,"[0, 0, 0, 1, 0]",2780.0,4.0
7,9693,"[0, 0, 0, 1, 0]",299.0,5.0
8,9725,"[0, 0, 0, 1, 0]",310.0,16.0
9,800,"[0, 0, 0, 1, 0]",431.0,12.0
10,10458,"[0, 0, 0, 1, 0]",220.0,6.0
11,9759,"[0, 0, 0, 1, 0]",167.0,15.0
12,11,"[0, 0, 0, 1, 0]",195.0,15.0
13,10371,"[0, 0, 0, 1, 0]",339.0,18.0
14,1038,"[0, 0, 0, 1, 0]",643.0,72.0
15,13,"[0, 0, 0, 1, 0]",200.0,18.0
16,26,"[0, 0, 0, 1, 0]",269.0,19.0
17,10291,"[0, 0, 0, 1, 0]",287.0,28.0
17,10510,"[0, 0, 0, 1, 0]",1043.0,17.0
18,670,"[0, 0, 0, 1, 0]",759.0,19.0
18,11097,"[0, 0, 0, 1, 0]",1430.0,6.0
19,1013,"[0, 0, 0, 1, 0]",225.0,9.0
19,2914,"[0, 0, 0, 1, 0]",51.0,19.0
20,10130,"[0, 0, 0, 1, 0]",245.0,83.0
21,10144,"[0, 0, 0, 1, 0]",575.0,84.0
22,222,"[0, 0, 0, 1, 0]",706.0,22.0
23,1038,"[0, 0, 0, 1, 0]",651.0,93.0
24,22,"[0, 0, 0, 1, 0]",213.0,22.0
25,24,"[0, 0, 0, 1, 0]",461.0,22.0
26,126,"[0, 0, 0, 1, 0]",281.0,55.0
26,673,"[0, 0, 0, 1, 0]",337.0,19.0
27,10624,"[0, 0, 0, 1, 0]",882.0,17.0
28,2312,"[0, 0, 0, 1, 0]",326.0,23.0
29,2674,"[0, 0, 0, 1, 0]",181.0,20.0
30,128,"[0, 0, 0, 1, 0]",181.0,58.0
31,10442,"[0, 0, 0, 1, 0]",528.0,6.0
32,9,"[0, 0, 0, 1, 0]",308.0,12.0
32,800,"[0, 0, 0, 1, 0]",736.0,85.0
33,717,"[0, 0, 0, 1, 0]",3295.0,7.0
33,1038,"[0, 0, 0, 1, 0]",673.0,33.0
34,10487,"[0, 0, 0, 1, 0]",813.0,17.0
35,36,"[0, 0, 0, 1, 0]",280.0,37.0
