from_stop_I,to_stop_I,label,d,n_vehicles
1,1092,"[0, 0, 0, 1, 0]",254.0,7.0
2,642,"[0, 0, 0, 1, 0]",213.0,40.0
3,866,"[0, 0, 0, 1, 0]",354.0,119.0
4,863,"[0, 0, 0, 1, 0]",297.0,117.0
5,7,"[0, 0, 0, 1, 0]",203.0,6.0
6,1,"[0, 0, 0, 1, 0]",405.0,7.0
7,120,"[0, 0, 0, 1, 0]",552.0,6.0
8,6,"[0, 0, 0, 1, 0]",184.0,7.0
9,524,"[0, 0, 0, 1, 0]",105.0,25.0
10,687,"[0, 0, 0, 1, 0]",296.0,49.0
11,157,"[0, 0, 0, 1, 0]",267.0,108.0
12,727,"[0, 0, 0, 1, 0]",131.0,109.0
13,764,"[0, 0, 0, 1, 0]",286.0,39.0
14,43,"[0, 0, 0, 1, 0]",310.0,118.0
15,713,"[0, 0, 0, 1, 0]",683.0,32.0
18,715,"[0, 0, 0, 1, 0]",312.0,71.0
19,939,"[0, 0, 0, 1, 0]",240.0,45.0
19,996,"[0, 0, 0, 1, 0]",1195.0,4.0
20,57,"[0, 0, 0, 1, 0]",350.0,197.0
21,826,"[0, 0, 0, 1, 0]",338.0,186.0
22,1517,"[0, 0, 0, 1, 0]",397.0,29.0
23,682,"[0, 0, 0, 1, 0]",221.0,29.0
24,1407,"[0, 0, 0, 1, 0]",397.0,70.0
25,703,"[0, 0, 0, 1, 0]",646.0,118.0
26,22,"[0, 0, 0, 1, 0]",282.0,29.0
27,919,"[0, 0, 0, 1, 0]",248.0,72.0
28,760,"[0, 0, 0, 1, 0]",419.0,74.0
29,1586,"[0, 0, 0, 1, 0]",537.0,203.0
30,31,"[0, 0, 0, 1, 0]",273.0,207.0
31,1534,"[0, 0, 0, 1, 0]",503.0,4.0
31,1590,"[0, 0, 0, 1, 0]",433.0,203.0
32,82,"[0, 0, 0, 1, 0]",212.0,203.0
33,240,"[0, 0, 0, 1, 0]",295.0,203.0
34,1587,"[0, 0, 0, 1, 0]",353.0,203.0
35,613,"[0, 0, 0, 1, 0]",154.0,88.0
35,1584,"[0, 0, 0, 1, 0]",527.0,203.0
36,34,"[0, 0, 0, 1, 0]",668.0,203.0
