from_stop_I,to_stop_I,label,d,n_vehicles
1,2,"[0, 1, 0, 0, 0]",1336.0,266.0
2,3,"[0, 1, 0, 0, 0]",1230.0,266.0
3,4,"[0, 1, 0, 0, 0]",929.0,266.0
4,5,"[0, 1, 0, 0, 0]",849.0,266.0
5,6,"[0, 1, 0, 0, 0]",822.0,266.0
6,7,"[0, 1, 0, 0, 0]",783.0,266.0
7,8,"[0, 1, 0, 0, 0]",647.0,266.0
8,9,"[0, 1, 0, 0, 0]",712.0,266.0
9,10,"[0, 1, 0, 0, 0]",703.0,266.0
10,11,"[0, 1, 0, 0, 0]",770.0,266.0
11,12,"[0, 1, 0, 0, 0]",784.0,266.0
12,13,"[0, 1, 0, 0, 0]",2179.0,266.0
13,14,"[0, 1, 0, 0, 0]",1027.0,266.0
14,15,"[0, 1, 0, 0, 0]",1020.0,266.0
15,31,"[0, 1, 0, 0, 0]",1333.0,152.0
16,17,"[0, 1, 0, 0, 0]",1099.0,265.0
17,18,"[0, 1, 0, 0, 0]",984.0,265.0
18,19,"[0, 1, 0, 0, 0]",2179.0,265.0
19,20,"[0, 1, 0, 0, 0]",793.0,266.0
20,21,"[0, 1, 0, 0, 0]",770.0,266.0
21,22,"[0, 1, 0, 0, 0]",738.0,266.0
22,23,"[0, 1, 0, 0, 0]",719.0,266.0
23,24,"[0, 1, 0, 0, 0]",674.0,266.0
24,25,"[0, 1, 0, 0, 0]",742.0,266.0
25,26,"[0, 1, 0, 0, 0]",835.0,266.0
26,27,"[0, 1, 0, 0, 0]",847.0,266.0
27,28,"[0, 1, 0, 0, 0]",912.0,266.0
28,29,"[0, 1, 0, 0, 0]",1211.0,266.0
29,1,"[0, 1, 0, 0, 0]",1257.0,78.0
29,30,"[0, 1, 0, 0, 0]",1349.0,188.0
30,33,"[0, 1, 0, 0, 0]",976.0,27.0
30,34,"[0, 1, 0, 0, 0]",976.0,133.0
32,16,"[0, 1, 0, 0, 0]",1324.0,153.0
33,1,"[0, 1, 0, 0, 0]",1025.0,27.0
34,1,"[0, 1, 0, 0, 0]",1026.0,132.0
35,36,"[0, 1, 0, 0, 0]",1334.0,272.0
36,37,"[0, 1, 0, 0, 0]",1055.0,272.0
37,38,"[0, 1, 0, 0, 0]",670.0,272.0
38,39,"[0, 1, 0, 0, 0]",1075.0,272.0
39,40,"[0, 1, 0, 0, 0]",675.0,272.0
40,41,"[0, 1, 0, 0, 0]",1326.0,275.0
41,42,"[0, 1, 0, 0, 0]",1333.0,275.0
42,43,"[0, 1, 0, 0, 0]",1540.0,275.0
43,44,"[0, 1, 0, 0, 0]",1013.0,277.0
44,45,"[0, 1, 0, 0, 0]",1026.0,277.0
45,46,"[0, 1, 0, 0, 0]",635.0,277.0
46,47,"[0, 1, 0, 0, 0]",455.0,277.0
47,48,"[0, 1, 0, 0, 0]",792.0,277.0
48,49,"[0, 1, 0, 0, 0]",531.0,277.0
49,50,"[0, 1, 0, 0, 0]",1007.0,277.0
50,51,"[0, 1, 0, 0, 0]",970.0,277.0
51,52,"[0, 1, 0, 0, 0]",1152.0,277.0
52,53,"[0, 1, 0, 0, 0]",1226.0,277.0
53,54,"[0, 1, 0, 0, 0]",799.0,277.0
54,55,"[0, 1, 0, 0, 0]",1098.0,277.0
55,56,"[0, 1, 0, 0, 0]",1485.0,277.0
56,57,"[0, 1, 0, 0, 0]",1724.0,277.0
57,58,"[0, 1, 0, 0, 0]",1189.0,277.0
59,60,"[0, 1, 0, 0, 0]",1189.0,277.0
60,61,"[0, 1, 0, 0, 0]",1719.0,277.0
61,62,"[0, 1, 0, 0, 0]",1486.0,277.0
62,63,"[0, 1, 0, 0, 0]",1089.0,277.0
63,64,"[0, 1, 0, 0, 0]",797.0,277.0
64,65,"[0, 1, 0, 0, 0]",1234.0,278.0
65,66,"[0, 1, 0, 0, 0]",1154.0,278.0
66,67,"[0, 1, 0, 0, 0]",964.0,278.0
67,68,"[0, 1, 0, 0, 0]",1002.0,278.0
68,69,"[0, 1, 0, 0, 0]",541.0,278.0
69,70,"[0, 1, 0, 0, 0]",792.0,278.0
70,71,"[0, 1, 0, 0, 0]",475.0,278.0
71,72,"[0, 1, 0, 0, 0]",610.0,278.0
72,73,"[0, 1, 0, 0, 0]",1061.0,278.0
