from_stop_I,to_stop_I,label,d,n_vehicles
1,9,"[0, 0, 0, 1, 0]",471.0,35.0
2,25,"[0, 0, 0, 1, 0]",261.0,61.0
3,223,"[0, 0, 0, 1, 0]",409.0,62.0
3,3094,"[0, 0, 0, 1, 0]",256.0,52.0
4,87,"[0, 1, 0, 0, 0]",754.0,315.0
4,273,"[0, 1, 0, 0, 0]",845.0,315.0
6,28,"[0, 0, 0, 1, 0]",260.0,78.0
7,28,"[0, 0, 0, 1, 0]",272.0,126.0
8,3157,"[0, 0, 0, 1, 0]",427.0,34.0
9,11,"[0, 0, 0, 1, 0]",289.0,35.0
10,8,"[0, 0, 0, 1, 0]",267.0,34.0
11,58,"[0, 0, 0, 1, 0]",183.0,35.0
12,3364,"[0, 0, 0, 1, 0]",339.0,17.0
13,536,"[0, 0, 0, 1, 0]",371.0,6.0
13,539,"[0, 0, 0, 1, 0]",350.0,7.0
13,3519,"[0, 0, 0, 1, 0]",366.0,5.0
14,3677,"[0, 0, 0, 1, 0]",4593.0,52.0
15,608,"[0, 0, 0, 1, 0]",349.0,67.0
16,606,"[0, 0, 0, 1, 0]",264.0,67.0
17,2131,"[0, 0, 0, 1, 0]",535.0,18.0
18,2355,"[0, 0, 0, 1, 0]",520.0,17.0
19,2130,"[0, 0, 0, 1, 0]",269.0,18.0
20,731,"[0, 0, 0, 1, 0]",269.0,36.0
20,2852,"[0, 0, 0, 1, 0]",475.0,23.0
21,303,"[0, 0, 0, 1, 0]",463.0,135.0
22,236,"[0, 0, 0, 1, 0]",343.0,48.0
23,234,"[0, 0, 0, 1, 0]",308.0,62.0
24,2803,"[0, 0, 0, 1, 0]",172.0,86.0
25,218,"[0, 0, 0, 1, 0]",366.0,61.0
26,6,"[0, 0, 0, 1, 0]",242.0,78.0
26,7,"[0, 0, 0, 1, 0]",254.0,128.0
26,218,"[0, 0, 0, 1, 0]",413.0,55.0
27,3,"[0, 0, 0, 1, 0]",197.0,62.0
28,749,"[0, 0, 0, 1, 0]",183.0,258.0
29,841,"[0, 0, 0, 1, 0]",324.0,133.0
30,842,"[0, 0, 0, 1, 0]",199.0,126.0
30,3391,"[0, 0, 0, 1, 0]",144.0,6.0
31,3357,"[0, 0, 0, 1, 0]",557.0,59.0
32,1595,"[0, 0, 0, 1, 0]",146.0,58.0
33,3376,"[0, 0, 0, 1, 0]",391.0,35.0
34,1660,"[0, 0, 0, 1, 0]",208.0,47.0
35,2845,"[0, 0, 0, 1, 0]",273.0,48.0
